fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Samos,1278,,
2020-11-22,Samos,1278,,
2020-11-23,Samos,1278,,
2020-11-24,Samos,1278,,
2020-11-25,Samos,1278,,
2020-11-26,Samos,1278,,
2020-11-27,Samos,1278,,
2020-11-28,Samos,1278,,
2020-11-29,Samos,1278,,
2020-11-30,Samos,1278,,
2020-12-01,Samos,1278,,
2020-12-02,Samos,1278,,
2020-12-03,Samos,1278,,
2020-12-04,Samos,1278,,
2020-12-05,Samos,1278,,
2020-12-06,Samos,1278,,
2020-12-07,Samos,1278,,
2020-12-08,Samos,1278,,
2020-12-09,Samos,1278,,
2020-12-10,Samos,1278,0,
2020-12-11,Samos,1278,0,
2020-12-12,Samos,1278,0,
2020-12-13,Samos,1278,0,
2020-12-14,Samos,1278,0,
2020-12-15,Samos,1278,0,
2020-12-16,Samos,1278,0,
2020-12-17,Samos,1278,0,
2020-12-18,Samos,1278,0,
2020-12-19,Samos,1278,0,
2020-12-20,Samos,1278,0,
2020-12-21,Samos,1278,0,
2020-12-22,Samos,1278,0,
2020-12-23,Samos,1278,0,
2020-12-24,Samos,1278,0,
2020-12-25,Samos,1278,0,
2020-12-26,Samos,1278,0,
2020-12-27,Samos,1278,0,
2020-12-28,Samos,1278,0,
2020-12-29,Samos,1278,0,
2020-12-30,Samos,1278,0,
2020-12-31,Samos,1278,0,
2021-01-01,Samos,1278,0,
2021-01-02,Samos,1278,0,
2021-01-03,Samos,1278,0,
2021-01-04,Samos,1278,0,
2021-01-05,Samos,1278,0,
2021-01-06,Samos,1278,0,
2021-01-07,Samos,1278,0,
2021-01-08,Samos,1278,0,
2021-01-09,Samos,1278,0,
2021-01-10,Samos,1278,0,
2021-01-11,Samos,1278,0,
2021-01-12,Samos,1278,0,
2021-01-13,Samos,1278,0,
2021-01-14,Samos,1278,0,
2021-01-15,Samos,1278,0,
2021-01-16,Samos,1278,0,
2021-01-17,Samos,1278,0,
2021-01-18,Samos,1278,,
2021-01-19,Samos,1278,,
2021-01-20,Samos,1278,,
2021-01-21,Samos,1278,,
2021-01-22,Samos,1278,,
2021-01-23,Samos,1278,,
2021-01-24,Samos,1278,,
2021-01-25,Samos,1278,,
2021-01-26,Samos,1278,,
2021-01-27,Samos,1278,,
2021-01-28,Samos,1278,,
2021-01-29,Samos,1278,,
2021-01-30,Samos,1278,,
2021-01-31,Samos,1278,,
2021-02-01,Samos,1278,,
2021-02-02,Samos,1278,,
2021-02-03,Samos,1278,,
2021-02-04,Samos,1278,,
2021-02-05,Samos,1278,,
2021-02-06,Samos,1278,,
2021-02-07,Samos,1278,,
2021-02-08,Samos,1278,,
2021-02-09,Samos,1278,,
2021-02-10,Samos,1278,,
2021-02-11,Samos,1278,,
2021-02-12,Samos,1278,,
2021-02-13,Samos,1278,,
2021-02-14,Samos,1278,,
2021-02-15,Samos,1278,,
2021-02-16,Samos,1278,,
2021-02-17,Samos,1278,,
2021-02-18,Samos,1278,0,
2021-02-19,Samos,1278,0,
2021-02-20,Samos,1278,0,
2021-02-21,Samos,1278,0,
2021-02-22,Samos,1278,0,
2021-02-23,Samos,1278,0,
2021-02-24,Samos,1278,0,
2021-02-25,Samos,1278,0,
2021-02-26,Samos,1278,0,
2021-02-27,Samos,1278,0,
2021-02-28,Samos,1278,0,
2021-03-01,Samos,1278,0,
2021-03-02,Samos,1278,0,0
2021-03-03,Samos,1278,0,0
2021-03-04,Samos,1278,0,0
2021-03-05,Samos,1278,0,0
2021-03-06,Samos,1278,0,0
2021-03-07,Samos,1278,0,0
2021-03-08,Samos,1278,0,0
2021-03-09,Samos,1278,0,0
2021-03-10,Samos,1278,0,0
2021-03-11,Samos,1278,0,0
2021-03-12,Samos,1278,0,0
2021-03-13,Samos,1278,,
2021-03-14,Samos,1278,,
2021-03-15,Samos,1278,,
2021-03-16,Samos,1278,,
2021-03-17,Samos,1278,,
2021-03-18,Samos,1278,,
2021-03-19,Samos,1278,,
2021-03-20,Samos,1278,,0
2021-03-21,Samos,1278,,0
2021-03-22,Samos,1278,,0
2021-03-23,Samos,1278,,0
2021-03-24,Samos,1278,,0
2021-03-25,Samos,1278,,
2021-03-26,Samos,1278,,
2021-03-27,Samos,1278,,
2021-03-28,Samos,1278,,
2021-03-29,Samos,1278,,
2021-03-30,Samos,1278,,
2021-03-31,Samos,1278,,
2021-04-01,Samos,1278,,
2021-04-02,Samos,1278,,
2021-04-03,Samos,1278,,0
2021-04-04,Samos,1278,,0
2021-04-05,Samos,1278,,0
2021-04-06,Samos,1278,,0
