fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Xunqueira de Espadanedo",745,0,
2020-11-22,"Xunqueira de Espadanedo",745,0,
2020-11-23,"Xunqueira de Espadanedo",745,0,
2020-11-24,"Xunqueira de Espadanedo",745,0,
2020-11-25,"Xunqueira de Espadanedo",745,0,
2020-11-26,"Xunqueira de Espadanedo",745,0,
2020-11-27,"Xunqueira de Espadanedo",745,0,
2020-11-28,"Xunqueira de Espadanedo",745,0,
2020-11-29,"Xunqueira de Espadanedo",745,0,
2020-11-30,"Xunqueira de Espadanedo",745,0,
2020-12-01,"Xunqueira de Espadanedo",745,0,
2020-12-02,"Xunqueira de Espadanedo",745,0,
2020-12-03,"Xunqueira de Espadanedo",745,0,
2020-12-04,"Xunqueira de Espadanedo",745,0,
2020-12-05,"Xunqueira de Espadanedo",745,0,
2020-12-06,"Xunqueira de Espadanedo",745,0,
2020-12-07,"Xunqueira de Espadanedo",745,0,
2020-12-08,"Xunqueira de Espadanedo",745,0,
2020-12-09,"Xunqueira de Espadanedo",745,0,
2020-12-10,"Xunqueira de Espadanedo",745,0,
2020-12-11,"Xunqueira de Espadanedo",745,0,
2020-12-12,"Xunqueira de Espadanedo",745,0,
2020-12-13,"Xunqueira de Espadanedo",745,0,
2020-12-14,"Xunqueira de Espadanedo",745,0,
2020-12-15,"Xunqueira de Espadanedo",745,0,
2020-12-16,"Xunqueira de Espadanedo",745,0,
2020-12-17,"Xunqueira de Espadanedo",745,0,
2020-12-18,"Xunqueira de Espadanedo",745,0,
2020-12-19,"Xunqueira de Espadanedo",745,0,
2020-12-20,"Xunqueira de Espadanedo",745,0,
2020-12-21,"Xunqueira de Espadanedo",745,0,
2020-12-22,"Xunqueira de Espadanedo",745,0,
2020-12-23,"Xunqueira de Espadanedo",745,0,
2020-12-24,"Xunqueira de Espadanedo",745,0,
2020-12-25,"Xunqueira de Espadanedo",745,0,
2020-12-26,"Xunqueira de Espadanedo",745,0,
2020-12-27,"Xunqueira de Espadanedo",745,0,
2020-12-28,"Xunqueira de Espadanedo",745,0,
2020-12-29,"Xunqueira de Espadanedo",745,0,
2020-12-30,"Xunqueira de Espadanedo",745,0,
2020-12-31,"Xunqueira de Espadanedo",745,0,
2021-01-01,"Xunqueira de Espadanedo",745,,
2021-01-02,"Xunqueira de Espadanedo",745,,
2021-01-03,"Xunqueira de Espadanedo",745,,
2021-01-04,"Xunqueira de Espadanedo",745,,
2021-01-05,"Xunqueira de Espadanedo",745,,
2021-01-06,"Xunqueira de Espadanedo",745,,
2021-01-07,"Xunqueira de Espadanedo",745,,
2021-01-08,"Xunqueira de Espadanedo",745,,
2021-01-09,"Xunqueira de Espadanedo",745,,
2021-01-10,"Xunqueira de Espadanedo",745,,
2021-01-11,"Xunqueira de Espadanedo",745,,
2021-01-12,"Xunqueira de Espadanedo",745,,
2021-01-13,"Xunqueira de Espadanedo",745,,
2021-01-14,"Xunqueira de Espadanedo",745,,
2021-01-15,"Xunqueira de Espadanedo",745,,
2021-01-16,"Xunqueira de Espadanedo",745,,
2021-01-17,"Xunqueira de Espadanedo",745,,
2021-01-18,"Xunqueira de Espadanedo",745,,
2021-01-19,"Xunqueira de Espadanedo",745,,
2021-01-20,"Xunqueira de Espadanedo",745,,
2021-01-21,"Xunqueira de Espadanedo",745,,
