fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Porto do Son",9171,31,
2020-11-22,"Porto do Son",9171,30,
2020-11-23,"Porto do Son",9171,36,
2020-11-24,"Porto do Son",9171,35,
2020-11-25,"Porto do Son",9171,37,
2020-11-26,"Porto do Son",9171,40,
2020-11-27,"Porto do Son",9171,35,
2020-11-28,"Porto do Son",9171,32,
2020-11-29,"Porto do Son",9171,30,
2020-11-30,"Porto do Son",9171,27,
2020-12-01,"Porto do Son",9171,27,
2020-12-02,"Porto do Son",9171,24,
2020-12-03,"Porto do Son",9171,24,
2020-12-04,"Porto do Son",9171,22,
2020-12-05,"Porto do Son",9171,23,
2020-12-06,"Porto do Son",9171,18,
2020-12-07,"Porto do Son",9171,16,
2020-12-08,"Porto do Son",9171,16,
2020-12-09,"Porto do Son",9171,13,
2020-12-10,"Porto do Son",9171,,
2020-12-11,"Porto do Son",9171,,
2020-12-12,"Porto do Son",9171,,
2020-12-13,"Porto do Son",9171,,
2020-12-14,"Porto do Son",9171,,
2020-12-15,"Porto do Son",9171,,
2020-12-16,"Porto do Son",9171,13,
2020-12-17,"Porto do Son",9171,17,
2020-12-18,"Porto do Son",9171,18,
2020-12-19,"Porto do Son",9171,21,
2020-12-20,"Porto do Son",9171,26,
2020-12-21,"Porto do Son",9171,30,
2020-12-22,"Porto do Son",9171,31,
2020-12-23,"Porto do Son",9171,33,
2020-12-24,"Porto do Son",9171,36,
2020-12-25,"Porto do Son",9171,37,
2020-12-26,"Porto do Son",9171,42,
2020-12-27,"Porto do Son",9171,43,
2020-12-28,"Porto do Son",9171,44,
2020-12-29,"Porto do Son",9171,44,
2020-12-30,"Porto do Son",9171,41,
2020-12-31,"Porto do Son",9171,41,
2021-01-01,"Porto do Son",9171,40,
2021-01-02,"Porto do Son",9171,38,
2021-01-03,"Porto do Son",9171,35,
2021-01-04,"Porto do Son",9171,39,
2021-01-05,"Porto do Son",9171,38,
2021-01-06,"Porto do Son",9171,37,
2021-01-07,"Porto do Son",9171,36,
2021-01-08,"Porto do Son",9171,35,
2021-01-09,"Porto do Son",9171,30,
2021-01-10,"Porto do Son",9171,29,
2021-01-11,"Porto do Son",9171,26,
2021-01-12,"Porto do Son",9171,28,
2021-01-13,"Porto do Son",9171,29,
2021-01-14,"Porto do Son",9171,26,
2021-01-15,"Porto do Son",9171,31,
2021-01-16,"Porto do Son",9171,30,
2021-01-17,"Porto do Son",9171,27,
2021-01-18,"Porto do Son",9171,20,
2021-01-19,"Porto do Son",9171,23,
2021-01-20,"Porto do Son",9171,23,
2021-01-21,"Porto do Son",9171,26,
2021-01-22,"Porto do Son",9171,29,
2021-01-23,"Porto do Son",9171,33,
2021-01-24,"Porto do Son",9171,35,
2021-01-25,"Porto do Son",9171,36,
2021-01-26,"Porto do Son",9171,33,
2021-01-27,"Porto do Son",9171,31,
2021-01-28,"Porto do Son",9171,29,
2021-01-29,"Porto do Son",9171,26,
2021-01-30,"Porto do Son",9171,26,
2021-01-31,"Porto do Son",9171,30,
2021-02-01,"Porto do Son",9171,32,
2021-02-02,"Porto do Son",9171,30,
2021-02-03,"Porto do Son",9171,30,
2021-02-04,"Porto do Son",9171,30,
2021-02-05,"Porto do Son",9171,29,
2021-02-06,"Porto do Son",9171,25,
2021-02-07,"Porto do Son",9171,24,
2021-02-08,"Porto do Son",9171,23,
2021-02-09,"Porto do Son",9171,24,
2021-02-10,"Porto do Son",9171,24,
2021-02-11,"Porto do Son",9171,24,
2021-02-12,"Porto do Son",9171,22,
2021-02-13,"Porto do Son",9171,22,
2021-02-14,"Porto do Son",9171,18,
2021-02-15,"Porto do Son",9171,15,
2021-02-16,"Porto do Son",9171,13,
2021-02-17,"Porto do Son",9171,13,
2021-02-18,"Porto do Son",9171,,
2021-02-19,"Porto do Son",9171,,
2021-02-20,"Porto do Son",9171,,
2021-02-21,"Porto do Son",9171,,
2021-02-22,"Porto do Son",9171,,
2021-02-23,"Porto do Son",9171,,
2021-02-24,"Porto do Son",9171,11,
2021-02-25,"Porto do Son",9171,11,
2021-02-26,"Porto do Son",9171,14,
2021-02-27,"Porto do Son",9171,13,
2021-02-28,"Porto do Son",9171,13,
2021-03-01,"Porto do Son",9171,14,
2021-03-02,"Porto do Son",9171,15,12
2021-03-03,"Porto do Son",9171,16,
2021-03-04,"Porto do Son",9171,16,
2021-03-05,"Porto do Son",9171,15,
2021-03-06,"Porto do Son",9171,15,
2021-03-07,"Porto do Son",9171,15,
2021-03-08,"Porto do Son",9171,16,
2021-03-09,"Porto do Son",9171,15,
2021-03-10,"Porto do Son",9171,,
2021-03-11,"Porto do Son",9171,,
2021-03-12,"Porto do Son",9171,,
2021-03-13,"Porto do Son",9171,,
2021-03-14,"Porto do Son",9171,,
2021-03-15,"Porto do Son",9171,,
2021-03-16,"Porto do Son",9171,,
2021-03-17,"Porto do Son",9171,,
2021-03-18,"Porto do Son",9171,,
2021-03-19,"Porto do Son",9171,,
2021-03-20,"Porto do Son",9171,,
2021-03-21,"Porto do Son",9171,,
2021-03-22,"Porto do Son",9171,,
2021-03-23,"Porto do Son",9171,,
2021-03-24,"Porto do Son",9171,,
2021-03-25,"Porto do Son",9171,,
2021-03-26,"Porto do Son",9171,,
2021-03-27,"Porto do Son",9171,,0
2021-03-28,"Porto do Son",9171,,0
2021-03-29,"Porto do Son",9171,,
2021-03-30,"Porto do Son",9171,,
2021-03-31,"Porto do Son",9171,,
2021-04-01,"Porto do Son",9171,,
2021-04-02,"Porto do Son",9171,,
2021-04-03,"Porto do Son",9171,,
2021-04-04,"Porto do Son",9171,,
2021-04-05,"Porto do Son",9171,,
2021-04-06,"Porto do Son",9171,,
2021-04-07,"Porto do Son",9171,,
2021-04-08,"Porto do Son",9171,,
2021-04-09,"Porto do Son",9171,,
2021-04-10,"Porto do Son",9171,,
2021-04-11,"Porto do Son",9171,,
2021-04-12,"Porto do Son",9171,,
2021-04-13,"Porto do Son",9171,,0
2021-04-14,"Porto do Son",9171,,0
2021-04-15,"Porto do Son",9171,,0
2021-04-16,"Porto do Son",9171,,0
2021-04-17,"Porto do Son",9171,,0
2021-04-18,"Porto do Son",9171,,0
2021-04-19,"Porto do Son",9171,,0
2021-04-20,"Porto do Son",9171,0,0
2021-04-21,"Porto do Son",9171,0,0
2021-04-22,"Porto do Son",9171,0,0
2021-04-23,"Porto do Son",9171,0,0
2021-04-24,"Porto do Son",9171,0,0
2021-04-25,"Porto do Son",9171,0,0
2021-04-26,"Porto do Son",9171,0,0
2021-04-27,"Porto do Son",9171,0,0
2021-04-28,"Porto do Son",9171,,
2021-04-29,"Porto do Son",9171,,
2021-04-30,"Porto do Son",9171,,
2021-05-01,"Porto do Son",9171,,
2021-05-02,"Porto do Son",9171,,
2021-05-03,"Porto do Son",9171,,
2021-05-04,"Porto do Son",9171,,
2021-05-05,"Porto do Son",9171,,0
2021-05-06,"Porto do Son",9171,,0
2021-05-07,"Porto do Son",9171,,
2021-05-08,"Porto do Son",9171,,
2021-05-09,"Porto do Son",9171,,
2021-05-10,"Porto do Son",9171,,
2021-05-11,"Porto do Son",9171,,
2021-05-12,"Porto do Son",9171,,
2021-05-13,"Porto do Son",9171,,
2021-05-14,"Porto do Son",9171,,
2021-05-15,"Porto do Son",9171,,
2021-05-16,"Porto do Son",9171,,
2021-05-17,"Porto do Son",9171,,
2021-05-18,"Porto do Son",9171,,
2021-05-19,"Porto do Son",9171,11,
2021-05-20,"Porto do Son",9171,11,
2021-05-21,"Porto do Son",9171,10,
2021-05-22,"Porto do Son",9171,,
2021-05-23,"Porto do Son",9171,,
2021-05-24,"Porto do Son",9171,,
2021-05-25,"Porto do Son",9171,,
2021-05-26,"Porto do Son",9171,,
2021-05-27,"Porto do Son",9171,,
2021-05-28,"Porto do Son",9171,,
2021-05-29,"Porto do Son",9171,,
2021-05-30,"Porto do Son",9171,,
2021-05-31,"Porto do Son",9171,,
2021-06-01,"Porto do Son",9171,,
2021-06-02,"Porto do Son",9171,,
2021-06-03,"Porto do Son",9171,,
2021-06-04,"Porto do Son",9171,,
2021-06-05,"Porto do Son",9171,,
2021-06-06,"Porto do Son",9171,,
2021-06-07,"Porto do Son",9171,,
2021-06-08,"Porto do Son",9171,,
2021-06-09,"Porto do Son",9171,,0
2021-06-10,"Porto do Son",9171,,0
2021-06-11,"Porto do Son",9171,,0
2021-06-12,"Porto do Son",9171,,0
2021-06-13,"Porto do Son",9171,,0
2021-06-14,"Porto do Son",9171,,0
2021-06-15,"Porto do Son",9171,,0
2021-06-16,"Porto do Son",9171,0,0
2021-06-17,"Porto do Son",9171,0,0
2021-06-18,"Porto do Son",9171,0,0
2021-06-19,"Porto do Son",9171,0,0
2021-06-20,"Porto do Son",9171,0,0
2021-06-21,"Porto do Son",9171,0,0
2021-06-22,"Porto do Son",9171,0,0
2021-06-23,"Porto do Son",9171,0,0
2021-06-24,"Porto do Son",9171,0,0
2021-06-25,"Porto do Son",9171,0,0
2021-06-26,"Porto do Son",9171,,
2021-06-27,"Porto do Son",9171,,
2021-06-28,"Porto do Son",9171,,
2021-06-29,"Porto do Son",9171,,
2021-06-30,"Porto do Son",9171,,
2021-07-01,"Porto do Son",9171,,
2021-07-02,"Porto do Son",9171,,
2021-07-03,"Porto do Son",9171,,
