fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Boiro,18838,47,
2020-11-22,Boiro,18838,47,
2020-11-23,Boiro,18838,45,
2020-11-24,Boiro,18838,47,
2020-11-25,Boiro,18838,48,
2020-11-26,Boiro,18838,48,
2020-11-27,Boiro,18838,47,
2020-11-28,Boiro,18838,49,
2020-11-29,Boiro,18838,51,
2020-11-30,Boiro,18838,49,
2020-12-01,Boiro,18838,52,
2020-12-02,Boiro,18838,64,
2020-12-03,Boiro,18838,66,
2020-12-04,Boiro,18838,74,
2020-12-05,Boiro,18838,84,
2020-12-06,Boiro,18838,101,
2020-12-07,Boiro,18838,115,
2020-12-08,Boiro,18838,135,
2020-12-09,Boiro,18838,154,
2020-12-10,Boiro,18838,178,
2020-12-11,Boiro,18838,193,
2020-12-12,Boiro,18838,202,
2020-12-13,Boiro,18838,208,
2020-12-14,Boiro,18838,224,
2020-12-15,Boiro,18838,230,
2020-12-16,Boiro,18838,234,
2020-12-17,Boiro,18838,245,
2020-12-18,Boiro,18838,243,
2020-12-19,Boiro,18838,242,
2020-12-20,Boiro,18838,230,
2020-12-21,Boiro,18838,219,
2020-12-22,Boiro,18838,200,
2020-12-23,Boiro,18838,187,
2020-12-24,Boiro,18838,169,
2020-12-25,Boiro,18838,161,
2020-12-26,Boiro,18838,158,
2020-12-27,Boiro,18838,160,
2020-12-28,Boiro,18838,148,
2020-12-29,Boiro,18838,144,
2020-12-30,Boiro,18838,131,
2020-12-31,Boiro,18838,117,
2021-01-01,Boiro,18838,112,
2021-01-02,Boiro,18838,98,
2021-01-03,Boiro,18838,95,
2021-01-04,Boiro,18838,94,
2021-01-05,Boiro,18838,94,
2021-01-06,Boiro,18838,95,
2021-01-07,Boiro,18838,90,
2021-01-08,Boiro,18838,87,
2021-01-09,Boiro,18838,85,
2021-01-10,Boiro,18838,77,
2021-01-11,Boiro,18838,75,
2021-01-12,Boiro,18838,73,
2021-01-13,Boiro,18838,70,
2021-01-14,Boiro,18838,67,
2021-01-15,Boiro,18838,68,
2021-01-16,Boiro,18838,70,
2021-01-17,Boiro,18838,72,
2021-01-18,Boiro,18838,70,
2021-01-19,Boiro,18838,71,
2021-01-20,Boiro,18838,64,
2021-01-21,Boiro,18838,63,
2021-01-22,Boiro,18838,58,
2021-01-23,Boiro,18838,57,
2021-01-24,Boiro,18838,54,
2021-01-25,Boiro,18838,54,
2021-01-26,Boiro,18838,56,
2021-01-27,Boiro,18838,56,
2021-01-28,Boiro,18838,56,
2021-01-29,Boiro,18838,55,
2021-01-30,Boiro,18838,53,
2021-01-31,Boiro,18838,51,
2021-02-01,Boiro,18838,52,
2021-02-02,Boiro,18838,50,
2021-02-03,Boiro,18838,51,
2021-02-04,Boiro,18838,49,
2021-02-05,Boiro,18838,53,
2021-02-06,Boiro,18838,47,
2021-02-07,Boiro,18838,45,
2021-02-08,Boiro,18838,40,
2021-02-09,Boiro,18838,35,
2021-02-10,Boiro,18838,34,
2021-02-11,Boiro,18838,39,
2021-02-12,Boiro,18838,35,
2021-02-13,Boiro,18838,36,
2021-02-14,Boiro,18838,33,
2021-02-15,Boiro,18838,31,
2021-02-16,Boiro,18838,31,
2021-02-17,Boiro,18838,28,
2021-02-18,Boiro,18838,27,
2021-02-19,Boiro,18838,21,
2021-02-20,Boiro,18838,21,
2021-02-21,Boiro,18838,23,
2021-02-22,Boiro,18838,23,
2021-02-23,Boiro,18838,22,
2021-02-24,Boiro,18838,21,
2021-02-25,Boiro,18838,14,
2021-02-26,Boiro,18838,13,
2021-02-27,Boiro,18838,10,
2021-02-28,Boiro,18838,,
2021-03-01,Boiro,18838,10,
2021-03-02,Boiro,18838,,
2021-03-03,Boiro,18838,,
2021-03-04,Boiro,18838,,
2021-03-05,Boiro,18838,,
2021-03-06,Boiro,18838,,
2021-03-07,Boiro,18838,,
2021-03-08,Boiro,18838,,0
2021-03-09,Boiro,18838,,0
2021-03-10,Boiro,18838,,0
2021-03-11,Boiro,18838,,0
2021-03-12,Boiro,18838,,
2021-03-13,Boiro,18838,,
2021-03-14,Boiro,18838,,
2021-03-15,Boiro,18838,,
2021-03-16,Boiro,18838,,
2021-03-17,Boiro,18838,,
2021-03-18,Boiro,18838,,
2021-03-19,Boiro,18838,,0
2021-03-20,Boiro,18838,,
2021-03-21,Boiro,18838,,
2021-03-22,Boiro,18838,,
2021-03-23,Boiro,18838,,
2021-03-24,Boiro,18838,,
2021-03-25,Boiro,18838,,
2021-03-26,Boiro,18838,,
2021-03-27,Boiro,18838,,0
2021-03-28,Boiro,18838,,0
2021-03-29,Boiro,18838,,0
2021-03-30,Boiro,18838,,
2021-03-31,Boiro,18838,,
2021-04-01,Boiro,18838,,
2021-04-02,Boiro,18838,,
2021-04-03,Boiro,18838,,
2021-04-04,Boiro,18838,,
2021-04-05,Boiro,18838,11,11
2021-04-06,Boiro,18838,16,15
2021-04-07,Boiro,18838,20,18
2021-04-08,Boiro,18838,24,22
2021-04-09,Boiro,18838,27,24
2021-04-10,Boiro,18838,28,19
2021-04-11,Boiro,18838,31,22
2021-04-12,Boiro,18838,31,20
2021-04-13,Boiro,18838,31,16
2021-04-14,Boiro,18838,32,14
2021-04-15,Boiro,18838,33,11
2021-04-16,Boiro,18838,32,
2021-04-17,Boiro,18838,28,
2021-04-18,Boiro,18838,29,
2021-04-19,Boiro,18838,29,
2021-04-20,Boiro,18838,24,
2021-04-21,Boiro,18838,20,
2021-04-22,Boiro,18838,18,
2021-04-23,Boiro,18838,16,
2021-04-24,Boiro,18838,15,
2021-04-25,Boiro,18838,12,
2021-04-26,Boiro,18838,12,
2021-04-27,Boiro,18838,11,
2021-04-28,Boiro,18838,,
2021-04-29,Boiro,18838,,
2021-04-30,Boiro,18838,,0
2021-05-01,Boiro,18838,,0
2021-05-02,Boiro,18838,,0
2021-05-03,Boiro,18838,,
2021-05-04,Boiro,18838,,
2021-05-05,Boiro,18838,,
2021-05-06,Boiro,18838,,
2021-05-07,Boiro,18838,,
2021-05-08,Boiro,18838,,
2021-05-09,Boiro,18838,,
2021-05-10,Boiro,18838,,
2021-05-11,Boiro,18838,10,
2021-05-12,Boiro,18838,10,
2021-05-13,Boiro,18838,12,
2021-05-14,Boiro,18838,13,
2021-05-15,Boiro,18838,15,
2021-05-16,Boiro,18838,17,
2021-05-17,Boiro,18838,17,11
2021-05-18,Boiro,18838,17,12
2021-05-19,Boiro,18838,19,15
2021-05-20,Boiro,18838,22,16
2021-05-21,Boiro,18838,25,18
2021-05-22,Boiro,18838,27,20
2021-05-23,Boiro,18838,28,20
2021-05-24,Boiro,18838,29,18
2021-05-25,Boiro,18838,31,18
2021-05-26,Boiro,18838,31,15
2021-05-27,Boiro,18838,31,15
2021-05-28,Boiro,18838,31,14
2021-05-29,Boiro,18838,31,12
2021-05-30,Boiro,18838,30,11
2021-05-31,Boiro,18838,27,10
2021-06-01,Boiro,18838,28,10
2021-06-02,Boiro,18838,25,10
2021-06-03,Boiro,18838,22,
2021-06-04,Boiro,18838,24,10
2021-06-05,Boiro,18838,20,
2021-06-06,Boiro,18838,19,
2021-06-07,Boiro,18838,18,
2021-06-08,Boiro,18838,16,
2021-06-09,Boiro,18838,16,
2021-06-10,Boiro,18838,13,
2021-06-11,Boiro,18838,12,
2021-06-12,Boiro,18838,11,
2021-06-13,Boiro,18838,11,
2021-06-14,Boiro,18838,11,
2021-06-15,Boiro,18838,,
