fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Oleiros,36075,60,
2020-11-22,Oleiros,36075,60,
2020-11-23,Oleiros,36075,60,
2020-11-24,Oleiros,36075,59,
2020-11-25,Oleiros,36075,50,
2020-11-26,Oleiros,36075,45,
2020-11-27,Oleiros,36075,41,
2020-11-28,Oleiros,36075,37,
2020-11-29,Oleiros,36075,36,
2020-11-30,Oleiros,36075,35,
2020-12-01,Oleiros,36075,31,
2020-12-02,Oleiros,36075,29,
2020-12-03,Oleiros,36075,26,
2020-12-04,Oleiros,36075,25,
2020-12-05,Oleiros,36075,26,
2020-12-06,Oleiros,36075,22,
2020-12-07,Oleiros,36075,25,
2020-12-08,Oleiros,36075,22,
2020-12-09,Oleiros,36075,20,
2020-12-10,Oleiros,36075,19,
2020-12-11,Oleiros,36075,20,
2020-12-12,Oleiros,36075,20,
2020-12-13,Oleiros,36075,21,
2020-12-14,Oleiros,36075,22,
2020-12-15,Oleiros,36075,25,
2020-12-16,Oleiros,36075,24,
2020-12-17,Oleiros,36075,24,
2020-12-18,Oleiros,36075,23,
2020-12-19,Oleiros,36075,26,
2020-12-20,Oleiros,36075,23,
2020-12-21,Oleiros,36075,22,
2020-12-22,Oleiros,36075,22,
2020-12-23,Oleiros,36075,25,
2020-12-24,Oleiros,36075,27,
2020-12-25,Oleiros,36075,33,
2020-12-26,Oleiros,36075,30,
2020-12-27,Oleiros,36075,28,
2020-12-28,Oleiros,36075,28,
2020-12-29,Oleiros,36075,29,
2020-12-30,Oleiros,36075,35,
2020-12-31,Oleiros,36075,36,
2021-01-01,Oleiros,36075,41,
2021-01-02,Oleiros,36075,42,
2021-01-03,Oleiros,36075,42,
2021-01-04,Oleiros,36075,51,
2021-01-05,Oleiros,36075,54,
2021-01-06,Oleiros,36075,58,
2021-01-07,Oleiros,36075,64,
2021-01-08,Oleiros,36075,61,
2021-01-09,Oleiros,36075,71,
2021-01-10,Oleiros,36075,80,
2021-01-11,Oleiros,36075,85,
2021-01-12,Oleiros,36075,93,
2021-01-13,Oleiros,36075,104,
2021-01-14,Oleiros,36075,116,
2021-01-15,Oleiros,36075,123,
2021-01-16,Oleiros,36075,122,
2021-01-17,Oleiros,36075,136,
2021-01-18,Oleiros,36075,139,
2021-01-19,Oleiros,36075,146,
2021-01-20,Oleiros,36075,150,
2021-01-21,Oleiros,36075,162,
2021-01-22,Oleiros,36075,179,
2021-01-23,Oleiros,36075,183,
2021-01-24,Oleiros,36075,202,
2021-01-25,Oleiros,36075,209,
2021-01-26,Oleiros,36075,210,
2021-01-27,Oleiros,36075,211,
2021-01-28,Oleiros,36075,218,
2021-01-29,Oleiros,36075,218,
2021-01-30,Oleiros,36075,232,
2021-01-31,Oleiros,36075,234,
2021-02-01,Oleiros,36075,230,
2021-02-02,Oleiros,36075,237,
2021-02-03,Oleiros,36075,236,
2021-02-04,Oleiros,36075,229,
2021-02-05,Oleiros,36075,222,
2021-02-06,Oleiros,36075,227,
2021-02-07,Oleiros,36075,213,
2021-02-08,Oleiros,36075,209,
2021-02-09,Oleiros,36075,203,
2021-02-10,Oleiros,36075,198,
2021-02-11,Oleiros,36075,187,
2021-02-12,Oleiros,36075,181,
2021-02-13,Oleiros,36075,171,
2021-02-14,Oleiros,36075,159,
2021-02-15,Oleiros,36075,158,
2021-02-16,Oleiros,36075,148,
2021-02-17,Oleiros,36075,144,
2021-02-18,Oleiros,36075,137,
2021-02-19,Oleiros,36075,128,
2021-02-20,Oleiros,36075,112,
2021-02-21,Oleiros,36075,101,
2021-02-22,Oleiros,36075,94,
2021-02-23,Oleiros,36075,89,
2021-02-24,Oleiros,36075,79,
2021-02-25,Oleiros,36075,76,
2021-02-26,Oleiros,36075,73,
2021-02-27,Oleiros,36075,70,
2021-02-28,Oleiros,36075,67,
2021-03-01,Oleiros,36075,57,
2021-03-02,Oleiros,36075,50,25
2021-03-03,Oleiros,36075,50,27
2021-03-04,Oleiros,36075,47,23
2021-03-05,Oleiros,36075,47,25
2021-03-06,Oleiros,36075,48,19
2021-03-07,Oleiros,36075,47,20
2021-03-08,Oleiros,36075,46,21
2021-03-09,Oleiros,36075,45,20
2021-03-10,Oleiros,36075,44,17
2021-03-11,Oleiros,36075,40,17
2021-03-12,Oleiros,36075,43,18
2021-03-13,Oleiros,36075,36,17
2021-03-14,Oleiros,36075,37,17
2021-03-15,Oleiros,36075,45,24
2021-03-16,Oleiros,36075,46,26
2021-03-17,Oleiros,36075,46,29
