fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Fisterra,4708,,
2020-11-22,Fisterra,4708,,
2020-11-23,Fisterra,4708,,
2020-11-24,Fisterra,4708,,
2020-11-25,Fisterra,4708,,
2020-11-26,Fisterra,4708,,
2020-11-27,Fisterra,4708,10,
2020-11-28,Fisterra,4708,,
2020-11-29,Fisterra,4708,,
2020-11-30,Fisterra,4708,,
2020-12-01,Fisterra,4708,,
2020-12-02,Fisterra,4708,,
2020-12-03,Fisterra,4708,,
2020-12-04,Fisterra,4708,,
2020-12-05,Fisterra,4708,15,
2020-12-06,Fisterra,4708,13,
2020-12-07,Fisterra,4708,13,
2020-12-08,Fisterra,4708,15,
2020-12-09,Fisterra,4708,14,
2020-12-10,Fisterra,4708,14,
2020-12-11,Fisterra,4708,15,
2020-12-12,Fisterra,4708,18,
2020-12-13,Fisterra,4708,26,
2020-12-14,Fisterra,4708,33,
2020-12-15,Fisterra,4708,33,
2020-12-16,Fisterra,4708,46,
2020-12-17,Fisterra,4708,56,
2020-12-18,Fisterra,4708,61,
2020-12-19,Fisterra,4708,59,
2020-12-20,Fisterra,4708,67,
2020-12-21,Fisterra,4708,73,
2020-12-22,Fisterra,4708,71,
2020-12-23,Fisterra,4708,71,
2020-12-24,Fisterra,4708,72,
2020-12-25,Fisterra,4708,71,
2020-12-26,Fisterra,4708,70,
2020-12-27,Fisterra,4708,61,
2020-12-28,Fisterra,4708,56,
2020-12-29,Fisterra,4708,56,
2020-12-30,Fisterra,4708,43,
2020-12-31,Fisterra,4708,37,
2021-01-01,Fisterra,4708,32,
2021-01-02,Fisterra,4708,26,
2021-01-03,Fisterra,4708,19,
2021-01-04,Fisterra,4708,14,
2021-01-05,Fisterra,4708,14,
2021-01-06,Fisterra,4708,15,
2021-01-07,Fisterra,4708,14,
2021-01-08,Fisterra,4708,13,
2021-01-09,Fisterra,4708,12,
2021-01-10,Fisterra,4708,12,
2021-01-11,Fisterra,4708,11,
2021-01-12,Fisterra,4708,11,
2021-01-13,Fisterra,4708,10,
2021-01-14,Fisterra,4708,,
2021-01-15,Fisterra,4708,,
2021-01-16,Fisterra,4708,,
2021-01-17,Fisterra,4708,,
2021-01-18,Fisterra,4708,10,
2021-01-19,Fisterra,4708,10,
2021-01-20,Fisterra,4708,14,
2021-01-21,Fisterra,4708,19,
2021-01-22,Fisterra,4708,21,
2021-01-23,Fisterra,4708,20,
2021-01-24,Fisterra,4708,29,
2021-01-25,Fisterra,4708,28,
2021-01-26,Fisterra,4708,28,
2021-01-27,Fisterra,4708,29,
2021-01-28,Fisterra,4708,31,
2021-01-29,Fisterra,4708,32,
2021-01-30,Fisterra,4708,34,
2021-01-31,Fisterra,4708,33,
2021-02-01,Fisterra,4708,31,
2021-02-02,Fisterra,4708,31,
2021-02-03,Fisterra,4708,26,
2021-02-04,Fisterra,4708,20,
2021-02-05,Fisterra,4708,18,
2021-02-06,Fisterra,4708,18,
2021-02-07,Fisterra,4708,,
2021-02-08,Fisterra,4708,,
2021-02-09,Fisterra,4708,,
2021-02-10,Fisterra,4708,,
2021-02-11,Fisterra,4708,,
2021-02-12,Fisterra,4708,,
2021-02-13,Fisterra,4708,,
2021-02-14,Fisterra,4708,,
2021-02-15,Fisterra,4708,,
2021-02-16,Fisterra,4708,,
2021-02-17,Fisterra,4708,,
2021-02-18,Fisterra,4708,,
2021-02-19,Fisterra,4708,,
2021-02-20,Fisterra,4708,,
2021-02-21,Fisterra,4708,,
2021-02-22,Fisterra,4708,,
2021-02-23,Fisterra,4708,,
2021-02-24,Fisterra,4708,,
2021-02-25,Fisterra,4708,,
2021-02-26,Fisterra,4708,,
2021-02-27,Fisterra,4708,,
2021-02-28,Fisterra,4708,,
2021-03-01,Fisterra,4708,,
2021-03-02,Fisterra,4708,,0
2021-03-03,Fisterra,4708,,0
2021-03-04,Fisterra,4708,0,0
2021-03-05,Fisterra,4708,0,0
2021-03-06,Fisterra,4708,0,0
2021-03-07,Fisterra,4708,0,0
2021-03-08,Fisterra,4708,0,0
2021-03-09,Fisterra,4708,0,0
2021-03-10,Fisterra,4708,0,0
2021-03-11,Fisterra,4708,0,0
2021-03-12,Fisterra,4708,0,0
2021-03-13,Fisterra,4708,0,0
2021-03-14,Fisterra,4708,0,0
2021-03-15,Fisterra,4708,0,0
2021-03-16,Fisterra,4708,0,0
2021-03-17,Fisterra,4708,0,0
2021-03-18,Fisterra,4708,0,0
2021-03-19,Fisterra,4708,0,0
2021-03-20,Fisterra,4708,0,0
2021-03-21,Fisterra,4708,0,0
2021-03-22,Fisterra,4708,0,0
2021-03-23,Fisterra,4708,0,0
2021-03-24,Fisterra,4708,0,0
2021-03-25,Fisterra,4708,0,0
2021-03-26,Fisterra,4708,0,0
2021-03-27,Fisterra,4708,0,0
2021-03-28,Fisterra,4708,0,0
2021-03-29,Fisterra,4708,0,0
2021-03-30,Fisterra,4708,0,0
2021-03-31,Fisterra,4708,0,0
2021-04-01,Fisterra,4708,,
2021-04-02,Fisterra,4708,,
2021-04-03,Fisterra,4708,,
2021-04-04,Fisterra,4708,,
2021-04-05,Fisterra,4708,,
2021-04-06,Fisterra,4708,,
2021-04-07,Fisterra,4708,,
2021-04-08,Fisterra,4708,,0
2021-04-09,Fisterra,4708,,
2021-04-10,Fisterra,4708,,
2021-04-11,Fisterra,4708,,
2021-04-12,Fisterra,4708,,
2021-04-13,Fisterra,4708,,
2021-04-14,Fisterra,4708,,
2021-04-15,Fisterra,4708,,
2021-04-16,Fisterra,4708,,
2021-04-17,Fisterra,4708,,0
2021-04-18,Fisterra,4708,,0
2021-04-19,Fisterra,4708,,0
2021-04-20,Fisterra,4708,,0
2021-04-21,Fisterra,4708,,0
2021-04-22,Fisterra,4708,,0
2021-04-23,Fisterra,4708,,0
2021-04-24,Fisterra,4708,0,0
2021-04-25,Fisterra,4708,0,0
2021-04-26,Fisterra,4708,0,0
2021-04-27,Fisterra,4708,0,0
2021-04-28,Fisterra,4708,0,0
2021-04-29,Fisterra,4708,0,0
2021-04-30,Fisterra,4708,0,0
2021-05-01,Fisterra,4708,0,0
2021-05-02,Fisterra,4708,0,0
2021-05-03,Fisterra,4708,0,0
2021-05-04,Fisterra,4708,0,0
2021-05-05,Fisterra,4708,0,0
2021-05-06,Fisterra,4708,,
2021-05-07,Fisterra,4708,,
2021-05-08,Fisterra,4708,,
2021-05-09,Fisterra,4708,,
2021-05-10,Fisterra,4708,10,10
2021-05-11,Fisterra,4708,10,10
2021-05-12,Fisterra,4708,10,10
2021-05-13,Fisterra,4708,10,
2021-05-14,Fisterra,4708,10,
2021-05-15,Fisterra,4708,10,
2021-05-16,Fisterra,4708,13,
2021-05-17,Fisterra,4708,13,
2021-05-18,Fisterra,4708,13,
2021-05-19,Fisterra,4708,13,
2021-05-20,Fisterra,4708,13,
2021-05-21,Fisterra,4708,13,
2021-05-22,Fisterra,4708,13,
