fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Padrón,8384,11,
2020-11-22,Padrón,8384,,
2020-11-23,Padrón,8384,10,
2020-11-24,Padrón,8384,10,
2020-11-25,Padrón,8384,12,
2020-11-26,Padrón,8384,12,
2020-11-27,Padrón,8384,13,
2020-11-28,Padrón,8384,14,
2020-11-29,Padrón,8384,13,
2020-11-30,Padrón,8384,14,
2020-12-01,Padrón,8384,15,
2020-12-02,Padrón,8384,16,
2020-12-03,Padrón,8384,18,
2020-12-04,Padrón,8384,21,
2020-12-05,Padrón,8384,22,
2020-12-06,Padrón,8384,23,
2020-12-07,Padrón,8384,23,
2020-12-08,Padrón,8384,25,
2020-12-09,Padrón,8384,26,
2020-12-10,Padrón,8384,26,
2020-12-11,Padrón,8384,24,
2020-12-12,Padrón,8384,25,
2020-12-13,Padrón,8384,25,
2020-12-14,Padrón,8384,26,
2020-12-15,Padrón,8384,26,
2020-12-16,Padrón,8384,29,
2020-12-17,Padrón,8384,29,
2020-12-18,Padrón,8384,27,
2020-12-19,Padrón,8384,27,
2020-12-20,Padrón,8384,28,
2020-12-21,Padrón,8384,28,
2020-12-22,Padrón,8384,27,
2020-12-23,Padrón,8384,26,
2020-12-24,Padrón,8384,26,
2020-12-25,Padrón,8384,24,
2020-12-26,Padrón,8384,27,
2020-12-27,Padrón,8384,29,
2020-12-28,Padrón,8384,31,
2020-12-29,Padrón,8384,31,
2020-12-30,Padrón,8384,27,
2020-12-31,Padrón,8384,25,
2021-01-01,Padrón,8384,24,
2021-01-02,Padrón,8384,23,
2021-01-03,Padrón,8384,21,
2021-01-04,Padrón,8384,21,
2021-01-05,Padrón,8384,20,
2021-01-06,Padrón,8384,21,
2021-01-07,Padrón,8384,19,
2021-01-08,Padrón,8384,22,
2021-01-09,Padrón,8384,20,
2021-01-10,Padrón,8384,19,
2021-01-11,Padrón,8384,17,
2021-01-12,Padrón,8384,21,
2021-01-13,Padrón,8384,31,
2021-01-14,Padrón,8384,39,
2021-01-15,Padrón,8384,50,
2021-01-16,Padrón,8384,55,
2021-01-17,Padrón,8384,60,
2021-01-18,Padrón,8384,67,
2021-01-19,Padrón,8384,79,
2021-01-20,Padrón,8384,80,
2021-01-21,Padrón,8384,93,
2021-01-22,Padrón,8384,110,
2021-01-23,Padrón,8384,117,
2021-01-24,Padrón,8384,122,
2021-01-25,Padrón,8384,132,
2021-01-26,Padrón,8384,150,
2021-01-27,Padrón,8384,150,
2021-01-28,Padrón,8384,156,
2021-01-29,Padrón,8384,156,
2021-01-30,Padrón,8384,169,
2021-01-31,Padrón,8384,175,
2021-02-01,Padrón,8384,177,
2021-02-02,Padrón,8384,170,
2021-02-03,Padrón,8384,173,
2021-02-04,Padrón,8384,168,
2021-02-05,Padrón,8384,155,
2021-02-06,Padrón,8384,149,
2021-02-07,Padrón,8384,144,
2021-02-08,Padrón,8384,133,
2021-02-09,Padrón,8384,112,
2021-02-10,Padrón,8384,106,
2021-02-11,Padrón,8384,93,
2021-02-12,Padrón,8384,87,
2021-02-13,Padrón,8384,69,
2021-02-14,Padrón,8384,60,
2021-02-15,Padrón,8384,50,
2021-02-16,Padrón,8384,46,
2021-02-17,Padrón,8384,39,
2021-02-18,Padrón,8384,33,
2021-02-19,Padrón,8384,26,
2021-02-20,Padrón,8384,23,
2021-02-21,Padrón,8384,21,
2021-02-22,Padrón,8384,19,
2021-02-23,Padrón,8384,18,
2021-02-24,Padrón,8384,13,
2021-02-25,Padrón,8384,17,
2021-02-26,Padrón,8384,12,
2021-02-27,Padrón,8384,12,
2021-02-28,Padrón,8384,13,
2021-03-01,Padrón,8384,13,
2021-03-02,Padrón,8384,12,
2021-03-03,Padrón,8384,11,
2021-03-04,Padrón,8384,10,
2021-03-05,Padrón,8384,11,
2021-03-06,Padrón,8384,10,
2021-03-07,Padrón,8384,11,
2021-03-08,Padrón,8384,11,
2021-03-09,Padrón,8384,10,
2021-03-10,Padrón,8384,,
2021-03-11,Padrón,8384,,
2021-03-12,Padrón,8384,,
2021-03-13,Padrón,8384,,
2021-03-14,Padrón,8384,,0
2021-03-15,Padrón,8384,,0
2021-03-16,Padrón,8384,,0
2021-03-17,Padrón,8384,,0
2021-03-18,Padrón,8384,,0
2021-03-19,Padrón,8384,,0
2021-03-20,Padrón,8384,,0
2021-03-21,Padrón,8384,0,0
2021-03-22,Padrón,8384,0,0
2021-03-23,Padrón,8384,0,0
2021-03-24,Padrón,8384,0,0
2021-03-25,Padrón,8384,0,0
2021-03-26,Padrón,8384,0,0
2021-03-27,Padrón,8384,,
2021-03-28,Padrón,8384,,
2021-03-29,Padrón,8384,,
2021-03-30,Padrón,8384,,
2021-03-31,Padrón,8384,,
2021-04-01,Padrón,8384,,
2021-04-02,Padrón,8384,,
2021-04-03,Padrón,8384,,0
2021-04-04,Padrón,8384,,0
2021-04-05,Padrón,8384,,0
2021-04-06,Padrón,8384,,0
2021-04-07,Padrón,8384,,0
2021-04-08,Padrón,8384,,
