fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Lourenzá,2140,,
2020-11-22,Lourenzá,2140,,
2020-11-23,Lourenzá,2140,,
2020-11-24,Lourenzá,2140,,
2020-11-25,Lourenzá,2140,,
2020-11-26,Lourenzá,2140,,
2020-11-27,Lourenzá,2140,,
2020-11-28,Lourenzá,2140,,
2020-11-29,Lourenzá,2140,,
2020-11-30,Lourenzá,2140,,
2020-12-01,Lourenzá,2140,,
2020-12-02,Lourenzá,2140,,
2020-12-03,Lourenzá,2140,,
2020-12-04,Lourenzá,2140,,
2020-12-05,Lourenzá,2140,,
2020-12-06,Lourenzá,2140,,
2020-12-07,Lourenzá,2140,,
2020-12-08,Lourenzá,2140,0,
2020-12-09,Lourenzá,2140,0,
2020-12-10,Lourenzá,2140,0,
2020-12-11,Lourenzá,2140,0,
2020-12-12,Lourenzá,2140,0,
2020-12-13,Lourenzá,2140,0,
2020-12-14,Lourenzá,2140,0,
2020-12-15,Lourenzá,2140,0,
2020-12-16,Lourenzá,2140,0,
2020-12-17,Lourenzá,2140,0,
2020-12-18,Lourenzá,2140,0,
2020-12-19,Lourenzá,2140,0,
2020-12-20,Lourenzá,2140,0,
2020-12-21,Lourenzá,2140,0,
2020-12-22,Lourenzá,2140,0,
2020-12-23,Lourenzá,2140,0,
2020-12-24,Lourenzá,2140,0,
2020-12-25,Lourenzá,2140,0,
2020-12-26,Lourenzá,2140,0,
2020-12-27,Lourenzá,2140,0,
2020-12-28,Lourenzá,2140,0,
2020-12-29,Lourenzá,2140,0,
2020-12-30,Lourenzá,2140,0,
2020-12-31,Lourenzá,2140,0,
2021-01-01,Lourenzá,2140,0,
2021-01-02,Lourenzá,2140,0,
2021-01-03,Lourenzá,2140,0,
2021-01-04,Lourenzá,2140,0,
2021-01-05,Lourenzá,2140,0,
2021-01-06,Lourenzá,2140,0,
2021-01-07,Lourenzá,2140,0,
2021-01-08,Lourenzá,2140,0,
2021-01-09,Lourenzá,2140,0,
2021-01-10,Lourenzá,2140,0,
2021-01-11,Lourenzá,2140,0,
2021-01-12,Lourenzá,2140,0,
2021-01-13,Lourenzá,2140,0,
2021-01-14,Lourenzá,2140,0,
2021-01-15,Lourenzá,2140,0,
2021-01-16,Lourenzá,2140,0,
2021-01-17,Lourenzá,2140,0,
2021-01-18,Lourenzá,2140,0,
2021-01-19,Lourenzá,2140,0,
2021-01-20,Lourenzá,2140,0,
2021-01-21,Lourenzá,2140,,
2021-01-22,Lourenzá,2140,,
2021-01-23,Lourenzá,2140,,
2021-01-24,Lourenzá,2140,,
2021-01-25,Lourenzá,2140,,
2021-01-26,Lourenzá,2140,,
2021-01-27,Lourenzá,2140,,
2021-01-28,Lourenzá,2140,,
2021-01-29,Lourenzá,2140,,
2021-01-30,Lourenzá,2140,,
2021-01-31,Lourenzá,2140,,
2021-02-01,Lourenzá,2140,,
2021-02-02,Lourenzá,2140,,
2021-02-03,Lourenzá,2140,,
2021-02-04,Lourenzá,2140,,
2021-02-05,Lourenzá,2140,,
2021-02-06,Lourenzá,2140,,
2021-02-07,Lourenzá,2140,,
2021-02-08,Lourenzá,2140,,
2021-02-09,Lourenzá,2140,,
2021-02-10,Lourenzá,2140,,
2021-02-11,Lourenzá,2140,,
2021-02-12,Lourenzá,2140,,
2021-02-13,Lourenzá,2140,,
2021-02-14,Lourenzá,2140,,
2021-02-15,Lourenzá,2140,,
2021-02-16,Lourenzá,2140,0,
2021-02-17,Lourenzá,2140,0,
2021-02-18,Lourenzá,2140,0,
2021-02-19,Lourenzá,2140,0,
2021-02-20,Lourenzá,2140,0,
2021-02-21,Lourenzá,2140,0,
2021-02-22,Lourenzá,2140,,
2021-02-23,Lourenzá,2140,,
2021-02-24,Lourenzá,2140,,
2021-02-25,Lourenzá,2140,,
2021-02-26,Lourenzá,2140,,
2021-02-27,Lourenzá,2140,,
2021-02-28,Lourenzá,2140,,
2021-03-01,Lourenzá,2140,,
2021-03-02,Lourenzá,2140,,
2021-03-03,Lourenzá,2140,,
2021-03-04,Lourenzá,2140,,
2021-03-05,Lourenzá,2140,,
2021-03-06,Lourenzá,2140,,
2021-03-07,Lourenzá,2140,,0
2021-03-08,Lourenzá,2140,,0
2021-03-09,Lourenzá,2140,,
2021-03-10,Lourenzá,2140,,
2021-03-11,Lourenzá,2140,,
2021-03-12,Lourenzá,2140,,
2021-03-13,Lourenzá,2140,,
2021-03-14,Lourenzá,2140,,
2021-03-15,Lourenzá,2140,,
2021-03-16,Lourenzá,2140,,
