fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Poio,17082,49,
2020-11-22,Poio,17082,55,
2020-11-23,Poio,17082,55,
2020-11-24,Poio,17082,53,
2020-11-25,Poio,17082,52,
2020-11-26,Poio,17082,52,
2020-11-27,Poio,17082,47,
2020-11-28,Poio,17082,45,
2020-11-29,Poio,17082,46,
2020-11-30,Poio,17082,48,
2020-12-01,Poio,17082,56,
2020-12-02,Poio,17082,55,
2020-12-03,Poio,17082,54,
2020-12-04,Poio,17082,52,
2020-12-05,Poio,17082,45,
2020-12-06,Poio,17082,41,
2020-12-07,Poio,17082,39,
2020-12-08,Poio,17082,35,
2020-12-09,Poio,17082,38,
2020-12-10,Poio,17082,34,
2020-12-11,Poio,17082,34,
2020-12-12,Poio,17082,35,
2020-12-13,Poio,17082,31,
2020-12-14,Poio,17082,32,
2020-12-15,Poio,17082,26,
2020-12-16,Poio,17082,22,
2020-12-17,Poio,17082,31,
2020-12-18,Poio,17082,35,
2020-12-19,Poio,17082,40,
2020-12-20,Poio,17082,41,
2020-12-21,Poio,17082,43,
2020-12-22,Poio,17082,43,
2020-12-23,Poio,17082,37,
2020-12-24,Poio,17082,42,
2020-12-25,Poio,17082,44,
2020-12-26,Poio,17082,47,
2020-12-27,Poio,17082,49,
2020-12-28,Poio,17082,47,
2020-12-29,Poio,17082,45,
2020-12-30,Poio,17082,48,
2020-12-31,Poio,17082,40,
2021-01-01,Poio,17082,38,
2021-01-02,Poio,17082,38,
2021-01-03,Poio,17082,36,
2021-01-04,Poio,17082,36,
2021-01-05,Poio,17082,35,
2021-01-06,Poio,17082,38,
2021-01-07,Poio,17082,39,
2021-01-08,Poio,17082,37,
2021-01-09,Poio,17082,33,
2021-01-10,Poio,17082,38,
2021-01-11,Poio,17082,47,
2021-01-12,Poio,17082,54,
2021-01-13,Poio,17082,57,
2021-01-14,Poio,17082,72,
2021-01-15,Poio,17082,80,
2021-01-16,Poio,17082,93,
2021-01-17,Poio,17082,112,
2021-01-18,Poio,17082,141,
2021-01-19,Poio,17082,151,
2021-01-20,Poio,17082,165,
2021-01-21,Poio,17082,248,
2021-01-22,Poio,17082,279,
2021-01-23,Poio,17082,297,
2021-01-24,Poio,17082,304,
2021-01-25,Poio,17082,336,
2021-01-26,Poio,17082,368,
2021-01-27,Poio,17082,380,
2021-01-28,Poio,17082,394,
2021-01-29,Poio,17082,399,
2021-01-30,Poio,17082,397,
2021-01-31,Poio,17082,396,
2021-02-01,Poio,17082,381,
2021-02-02,Poio,17082,381,
2021-02-03,Poio,17082,384,
2021-02-04,Poio,17082,301,
2021-02-05,Poio,17082,284,
2021-02-06,Poio,17082,283,
2021-02-07,Poio,17082,301,
2021-02-08,Poio,17082,262,
