fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Melide,7406,11,
2020-11-22,Melide,7406,11,
2020-11-23,Melide,7406,12,
2020-11-24,Melide,7406,16,
2020-11-25,Melide,7406,15,
2020-11-26,Melide,7406,15,
2020-11-27,Melide,7406,15,
2020-11-28,Melide,7406,15,
2020-11-29,Melide,7406,14,
2020-11-30,Melide,7406,13,
2020-12-01,Melide,7406,13,
2020-12-02,Melide,7406,12,
2020-12-03,Melide,7406,12,
2020-12-04,Melide,7406,10,
2020-12-05,Melide,7406,10,
2020-12-06,Melide,7406,,
2020-12-07,Melide,7406,,
2020-12-08,Melide,7406,,
2020-12-09,Melide,7406,,
2020-12-10,Melide,7406,,
2020-12-11,Melide,7406,,
2020-12-12,Melide,7406,,
2020-12-13,Melide,7406,,
2020-12-14,Melide,7406,,
2020-12-15,Melide,7406,11,
2020-12-16,Melide,7406,22,
2020-12-17,Melide,7406,23,
2020-12-18,Melide,7406,24,
2020-12-19,Melide,7406,24,
2020-12-20,Melide,7406,24,
2020-12-21,Melide,7406,24,
2020-12-22,Melide,7406,24,
2020-12-23,Melide,7406,24,
2020-12-24,Melide,7406,21,
2020-12-25,Melide,7406,21,
2020-12-26,Melide,7406,21,
2020-12-27,Melide,7406,23,
2020-12-28,Melide,7406,24,
2020-12-29,Melide,7406,21,
2020-12-30,Melide,7406,13,
2020-12-31,Melide,7406,12,
2021-01-01,Melide,7406,12,
2021-01-02,Melide,7406,15,
2021-01-03,Melide,7406,15,
2021-01-04,Melide,7406,15,
2021-01-05,Melide,7406,15,
2021-01-06,Melide,7406,25,
2021-01-07,Melide,7406,30,
2021-01-08,Melide,7406,38,
2021-01-09,Melide,7406,41,
2021-01-10,Melide,7406,41,
2021-01-11,Melide,7406,42,
2021-01-12,Melide,7406,41,
2021-01-13,Melide,7406,48,
2021-01-14,Melide,7406,51,
2021-01-15,Melide,7406,60,
2021-01-16,Melide,7406,63,
2021-01-17,Melide,7406,67,
2021-01-18,Melide,7406,71,
2021-01-19,Melide,7406,76,
2021-01-20,Melide,7406,69,
2021-01-21,Melide,7406,66,
2021-01-22,Melide,7406,65,
2021-01-23,Melide,7406,66,
2021-01-24,Melide,7406,64,
2021-01-25,Melide,7406,69,
2021-01-26,Melide,7406,79,
2021-01-27,Melide,7406,73,
2021-01-28,Melide,7406,74,
2021-01-29,Melide,7406,66,
2021-01-30,Melide,7406,68,
2021-01-31,Melide,7406,68,
2021-02-01,Melide,7406,68,
2021-02-02,Melide,7406,66,
2021-02-03,Melide,7406,68,
2021-02-04,Melide,7406,70,
2021-02-05,Melide,7406,64,
2021-02-06,Melide,7406,60,
2021-02-07,Melide,7406,61,
2021-02-08,Melide,7406,55,
2021-02-09,Melide,7406,45,
2021-02-10,Melide,7406,42,
2021-02-11,Melide,7406,36,
2021-02-12,Melide,7406,34,
2021-02-13,Melide,7406,27,
2021-02-14,Melide,7406,23,
2021-02-15,Melide,7406,19,
2021-02-16,Melide,7406,18,
2021-02-17,Melide,7406,12,
2021-02-18,Melide,7406,,
2021-02-19,Melide,7406,,
2021-02-20,Melide,7406,,
2021-02-21,Melide,7406,,
2021-02-22,Melide,7406,,
2021-02-23,Melide,7406,,
2021-02-24,Melide,7406,,
2021-02-25,Melide,7406,,
2021-02-26,Melide,7406,,
2021-02-27,Melide,7406,,
2021-02-28,Melide,7406,,
2021-03-01,Melide,7406,,
2021-03-02,Melide,7406,,
2021-03-03,Melide,7406,,
2021-03-04,Melide,7406,,
2021-03-05,Melide,7406,,
2021-03-06,Melide,7406,,
2021-03-07,Melide,7406,,
2021-03-08,Melide,7406,,
2021-03-09,Melide,7406,,
2021-03-10,Melide,7406,,0
2021-03-11,Melide,7406,,0
2021-03-12,Melide,7406,,0
2021-03-13,Melide,7406,,
2021-03-14,Melide,7406,,
2021-03-15,Melide,7406,,
2021-03-16,Melide,7406,,
2021-03-17,Melide,7406,,
2021-03-18,Melide,7406,,
2021-03-19,Melide,7406,,
2021-03-20,Melide,7406,,0
2021-03-21,Melide,7406,,0
2021-03-22,Melide,7406,,0
2021-03-23,Melide,7406,,0
2021-03-24,Melide,7406,,0
2021-03-25,Melide,7406,,0
2021-03-26,Melide,7406,,0
2021-03-27,Melide,7406,0,0
2021-03-28,Melide,7406,0,0
2021-03-29,Melide,7406,0,0
2021-03-30,Melide,7406,0,0
2021-03-31,Melide,7406,0,0
2021-04-01,Melide,7406,0,0
2021-04-02,Melide,7406,0,0
2021-04-03,Melide,7406,0,0
2021-04-04,Melide,7406,0,0
2021-04-05,Melide,7406,0,0
2021-04-06,Melide,7406,0,0
2021-04-07,Melide,7406,,
2021-04-08,Melide,7406,,
2021-04-09,Melide,7406,,
2021-04-10,Melide,7406,,
2021-04-11,Melide,7406,,
2021-04-12,Melide,7406,,
2021-04-13,Melide,7406,,
2021-04-14,Melide,7406,,0
2021-04-15,Melide,7406,,0
2021-04-16,Melide,7406,,
2021-04-17,Melide,7406,,
2021-04-18,Melide,7406,,
2021-04-19,Melide,7406,,
2021-04-20,Melide,7406,,
2021-04-21,Melide,7406,,
2021-04-22,Melide,7406,,
2021-04-23,Melide,7406,0,0
2021-04-24,Melide,7406,0,0
2021-04-25,Melide,7406,0,0
2021-04-26,Melide,7406,,
2021-04-27,Melide,7406,,
2021-04-28,Melide,7406,,
2021-04-29,Melide,7406,10,10
2021-04-30,Melide,7406,10,10
2021-05-01,Melide,7406,10,10
2021-05-02,Melide,7406,10,10
2021-05-03,Melide,7406,10,
2021-05-04,Melide,7406,10,
2021-05-05,Melide,7406,12,
2021-05-06,Melide,7406,12,
2021-05-07,Melide,7406,14,
2021-05-08,Melide,7406,14,
2021-05-09,Melide,7406,14,
2021-05-10,Melide,7406,10,
2021-05-11,Melide,7406,,
2021-05-12,Melide,7406,,
2021-05-13,Melide,7406,,
2021-05-14,Melide,7406,,0
2021-05-15,Melide,7406,,0
2021-05-16,Melide,7406,,0
2021-05-17,Melide,7406,,0
2021-05-18,Melide,7406,,0
2021-05-19,Melide,7406,,
2021-05-20,Melide,7406,,
2021-05-21,Melide,7406,,
2021-05-22,Melide,7406,,
2021-05-23,Melide,7406,,
2021-05-24,Melide,7406,,
2021-05-25,Melide,7406,,
2021-05-26,Melide,7406,,
2021-05-27,Melide,7406,,
2021-05-28,Melide,7406,,
2021-05-29,Melide,7406,,
2021-05-30,Melide,7406,,0
2021-05-31,Melide,7406,,0
2021-06-01,Melide,7406,,0
2021-06-02,Melide,7406,,0
2021-06-03,Melide,7406,,0
2021-06-04,Melide,7406,,0
2021-06-05,Melide,7406,,0
2021-06-06,Melide,7406,0,0
2021-06-07,Melide,7406,,
2021-06-08,Melide,7406,,
2021-06-09,Melide,7406,,
2021-06-10,Melide,7406,,
2021-06-11,Melide,7406,,
2021-06-12,Melide,7406,,
2021-06-13,Melide,7406,,
2021-06-14,Melide,7406,,0
2021-06-15,Melide,7406,,0
2021-06-16,Melide,7406,,0
2021-06-17,Melide,7406,,
2021-06-18,Melide,7406,,
2021-06-19,Melide,7406,,
2021-06-20,Melide,7406,,
2021-06-21,Melide,7406,,
2021-06-22,Melide,7406,,
2021-06-23,Melide,7406,,
2021-06-24,Melide,7406,,0
2021-06-25,Melide,7406,,0
2021-06-26,Melide,7406,,0
2021-06-27,Melide,7406,,0
2021-06-28,Melide,7406,,0
2021-06-29,Melide,7406,,0
2021-06-30,Melide,7406,,0
2021-07-01,Melide,7406,0,0
2021-07-02,Melide,7406,0,0
2021-07-03,Melide,7406,0,0
2021-07-04,Melide,7406,0,0
2021-07-05,Melide,7406,0,0
2021-07-06,Melide,7406,0,0
2021-07-07,Melide,7406,0,0
2021-07-08,Melide,7406,0,0
2021-07-09,Melide,7406,0,0
2021-07-10,Melide,7406,0,0
2021-07-11,Melide,7406,0,0
2021-07-12,Melide,7406,,
2021-07-13,Melide,7406,,
2021-07-14,Melide,7406,,
2021-07-15,Melide,7406,,
2021-07-16,Melide,7406,,
2021-07-17,Melide,7406,22,22
2021-07-18,Melide,7406,35,35
2021-07-19,Melide,7406,38,37
2021-07-20,Melide,7406,44,43
2021-07-21,Melide,7406,48,47
2021-07-22,Melide,7406,52,50
2021-07-23,Melide,7406,54,47
2021-07-24,Melide,7406,58,36
2021-07-25,Melide,7406,67,32
2021-07-26,Melide,7406,72,35
2021-07-27,Melide,7406,76,33
2021-07-28,Melide,7406,81,34
2021-07-29,Melide,7406,83,33
2021-07-30,Melide,7406,82,35
2021-07-31,Melide,7406,72,36
2021-08-01,Melide,7406,62,30
2021-08-02,Melide,7406,61,26
2021-08-03,Melide,7406,55,22
2021-08-04,Melide,7406,54,20
2021-08-05,Melide,7406,52,19
