fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Carballo,31349,179,
2020-11-22,Carballo,31349,183,
2020-11-23,Carballo,31349,176,
2020-11-24,Carballo,31349,180,
2020-11-25,Carballo,31349,171,
2020-11-26,Carballo,31349,171,
2020-11-27,Carballo,31349,162,
2020-11-28,Carballo,31349,165,
2020-11-29,Carballo,31349,149,
2020-11-30,Carballo,31349,144,
2020-12-01,Carballo,31349,138,
2020-12-02,Carballo,31349,131,
2020-12-03,Carballo,31349,137,
2020-12-04,Carballo,31349,131,
2020-12-05,Carballo,31349,121,
2020-12-06,Carballo,31349,105,
2020-12-07,Carballo,31349,104,
2020-12-08,Carballo,31349,97,
2020-12-09,Carballo,31349,89,
2020-12-10,Carballo,31349,77,
2020-12-11,Carballo,31349,70,
2020-12-12,Carballo,31349,52,
2020-12-13,Carballo,31349,49,
2020-12-14,Carballo,31349,46,
2020-12-15,Carballo,31349,42,
2020-12-16,Carballo,31349,34,
2020-12-17,Carballo,31349,24,
2020-12-18,Carballo,31349,21,
2020-12-19,Carballo,31349,18,
2020-12-20,Carballo,31349,19,
2020-12-21,Carballo,31349,15,
2020-12-22,Carballo,31349,13,
2020-12-23,Carballo,31349,16,
2020-12-24,Carballo,31349,16,
2020-12-25,Carballo,31349,16,
2020-12-26,Carballo,31349,15,
2020-12-27,Carballo,31349,16,
2020-12-28,Carballo,31349,15,
2020-12-29,Carballo,31349,19,
2020-12-30,Carballo,31349,22,
2020-12-31,Carballo,31349,23,
2021-01-01,Carballo,31349,25,
2021-01-02,Carballo,31349,26,
2021-01-03,Carballo,31349,26,
2021-01-04,Carballo,31349,28,
2021-01-05,Carballo,31349,32,
2021-01-06,Carballo,31349,35,
2021-01-07,Carballo,31349,38,
2021-01-08,Carballo,31349,48,
2021-01-09,Carballo,31349,54,
2021-01-10,Carballo,31349,61,
2021-01-11,Carballo,31349,68,
2021-01-12,Carballo,31349,74,
2021-01-13,Carballo,31349,81,
2021-01-14,Carballo,31349,87,
2021-01-15,Carballo,31349,97,
2021-01-16,Carballo,31349,115,
2021-01-17,Carballo,31349,156,
2021-01-18,Carballo,31349,168,
2021-01-19,Carballo,31349,181,
2021-01-20,Carballo,31349,209,
2021-01-21,Carballo,31349,241,
2021-01-22,Carballo,31349,263,
2021-01-23,Carballo,31349,293,
2021-01-24,Carballo,31349,299,
2021-01-25,Carballo,31349,309,
2021-01-26,Carballo,31349,323,
2021-01-27,Carballo,31349,353,
2021-01-28,Carballo,31349,373,
2021-01-29,Carballo,31349,389,
2021-01-30,Carballo,31349,385,
2021-01-31,Carballo,31349,363,
2021-02-01,Carballo,31349,367,
2021-02-02,Carballo,31349,361,
2021-02-03,Carballo,31349,342,
2021-02-04,Carballo,31349,328,
2021-02-05,Carballo,31349,308,
2021-02-06,Carballo,31349,305,
2021-02-07,Carballo,31349,303,
2021-02-08,Carballo,31349,300,
2021-02-09,Carballo,31349,289,
2021-02-10,Carballo,31349,274,
2021-02-11,Carballo,31349,269,
2021-02-12,Carballo,31349,253,
2021-02-13,Carballo,31349,257,
2021-02-14,Carballo,31349,245,
2021-02-15,Carballo,31349,245,
2021-02-16,Carballo,31349,242,
2021-02-17,Carballo,31349,231,
2021-02-18,Carballo,31349,219,
2021-02-19,Carballo,31349,219,
2021-02-20,Carballo,31349,194,
2021-02-21,Carballo,31349,188,
2021-02-22,Carballo,31349,173,
2021-02-23,Carballo,31349,162,
2021-02-24,Carballo,31349,139,
2021-02-25,Carballo,31349,119,
2021-02-26,Carballo,31349,109,
2021-02-27,Carballo,31349,94,
2021-02-28,Carballo,31349,88,
2021-03-01,Carballo,31349,70,
2021-03-02,Carballo,31349,60,16
2021-03-03,Carballo,31349,55,14
2021-03-04,Carballo,31349,47,13
2021-03-05,Carballo,31349,38,13
2021-03-06,Carballo,31349,35,11
2021-03-07,Carballo,31349,28,
2021-03-08,Carballo,31349,28,11
2021-03-09,Carballo,31349,27,11
2021-03-10,Carballo,31349,25,11
2021-03-11,Carballo,31349,22,
2021-03-12,Carballo,31349,19,
2021-03-13,Carballo,31349,14,
2021-03-14,Carballo,31349,12,
2021-03-15,Carballo,31349,13,
2021-03-16,Carballo,31349,14,
2021-03-17,Carballo,31349,14,
2021-03-18,Carballo,31349,13,
2021-03-19,Carballo,31349,10,
2021-03-20,Carballo,31349,,
2021-03-21,Carballo,31349,,
2021-03-22,Carballo,31349,,
2021-03-23,Carballo,31349,,
2021-03-24,Carballo,31349,,
2021-03-25,Carballo,31349,,
2021-03-26,Carballo,31349,,
2021-03-27,Carballo,31349,,
2021-03-28,Carballo,31349,,
2021-03-29,Carballo,31349,,
2021-03-30,Carballo,31349,,
2021-03-31,Carballo,31349,,
2021-04-01,Carballo,31349,,
2021-04-02,Carballo,31349,,
2021-04-03,Carballo,31349,,
2021-04-04,Carballo,31349,,
2021-04-05,Carballo,31349,,
2021-04-06,Carballo,31349,,
2021-04-07,Carballo,31349,,
2021-04-08,Carballo,31349,,
2021-04-09,Carballo,31349,,
2021-04-10,Carballo,31349,,
2021-04-11,Carballo,31349,,
2021-04-12,Carballo,31349,10,
2021-04-13,Carballo,31349,10,
2021-04-14,Carballo,31349,10,
2021-04-15,Carballo,31349,10,
