fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Ribadavia,5024,29,
2020-11-22,Ribadavia,5024,30,
2020-11-23,Ribadavia,5024,29,
2020-11-24,Ribadavia,5024,29,
2020-11-25,Ribadavia,5024,22,
2020-11-26,Ribadavia,5024,20,
2020-11-27,Ribadavia,5024,21,
2020-11-28,Ribadavia,5024,20,
2020-11-29,Ribadavia,5024,21,
2020-11-30,Ribadavia,5024,19,
2020-12-01,Ribadavia,5024,19,
2020-12-02,Ribadavia,5024,19,
2020-12-03,Ribadavia,5024,15,
2020-12-04,Ribadavia,5024,14,
2020-12-05,Ribadavia,5024,11,
2020-12-06,Ribadavia,5024,,
2020-12-07,Ribadavia,5024,,
2020-12-08,Ribadavia,5024,,
2020-12-09,Ribadavia,5024,,
2020-12-10,Ribadavia,5024,,
2020-12-11,Ribadavia,5024,,
2020-12-12,Ribadavia,5024,,
2020-12-13,Ribadavia,5024,,
2020-12-14,Ribadavia,5024,,
2020-12-15,Ribadavia,5024,,
2020-12-16,Ribadavia,5024,,
2020-12-17,Ribadavia,5024,,
2020-12-18,Ribadavia,5024,,
2020-12-19,Ribadavia,5024,,
2020-12-20,Ribadavia,5024,,
2020-12-21,Ribadavia,5024,,
2020-12-22,Ribadavia,5024,,
2020-12-23,Ribadavia,5024,,
2020-12-24,Ribadavia,5024,,
2020-12-25,Ribadavia,5024,,
2020-12-26,Ribadavia,5024,,
2020-12-27,Ribadavia,5024,,
2020-12-28,Ribadavia,5024,,
2020-12-29,Ribadavia,5024,,
2020-12-30,Ribadavia,5024,,
2020-12-31,Ribadavia,5024,,
2021-01-01,Ribadavia,5024,,
2021-01-02,Ribadavia,5024,,
2021-01-03,Ribadavia,5024,,
2021-01-04,Ribadavia,5024,,
2021-01-05,Ribadavia,5024,,
2021-01-06,Ribadavia,5024,,
2021-01-07,Ribadavia,5024,,
2021-01-08,Ribadavia,5024,12,
2021-01-09,Ribadavia,5024,13,
2021-01-10,Ribadavia,5024,15,
2021-01-11,Ribadavia,5024,16,
2021-01-12,Ribadavia,5024,21,
2021-01-13,Ribadavia,5024,23,
2021-01-14,Ribadavia,5024,26,
2021-01-15,Ribadavia,5024,34,
2021-01-16,Ribadavia,5024,41,
2021-01-17,Ribadavia,5024,46,
2021-01-18,Ribadavia,5024,47,
2021-01-19,Ribadavia,5024,51,
2021-01-20,Ribadavia,5024,53,
2021-01-21,Ribadavia,5024,57,
2021-01-22,Ribadavia,5024,54,
2021-01-23,Ribadavia,5024,53,
2021-01-24,Ribadavia,5024,52,
2021-01-25,Ribadavia,5024,51,
2021-01-26,Ribadavia,5024,51,
2021-01-27,Ribadavia,5024,52,
2021-01-28,Ribadavia,5024,51,
2021-01-29,Ribadavia,5024,43,
2021-01-30,Ribadavia,5024,37,
2021-01-31,Ribadavia,5024,33,
2021-02-01,Ribadavia,5024,36,
2021-02-02,Ribadavia,5024,35,
2021-02-03,Ribadavia,5024,33,
2021-02-04,Ribadavia,5024,29,
2021-02-05,Ribadavia,5024,27,
2021-02-06,Ribadavia,5024,27,
2021-02-07,Ribadavia,5024,27,
2021-02-08,Ribadavia,5024,27,
2021-02-09,Ribadavia,5024,20,
2021-02-10,Ribadavia,5024,17,
2021-02-11,Ribadavia,5024,14,
2021-02-12,Ribadavia,5024,14,
2021-02-13,Ribadavia,5024,14,
2021-02-14,Ribadavia,5024,13,
2021-02-15,Ribadavia,5024,,
2021-02-16,Ribadavia,5024,,
2021-02-17,Ribadavia,5024,,
2021-02-18,Ribadavia,5024,,
2021-02-19,Ribadavia,5024,,
2021-02-20,Ribadavia,5024,,
2021-02-21,Ribadavia,5024,,
2021-02-22,Ribadavia,5024,,
2021-02-23,Ribadavia,5024,,
2021-02-24,Ribadavia,5024,,
2021-02-25,Ribadavia,5024,,
2021-02-26,Ribadavia,5024,,
2021-02-27,Ribadavia,5024,,
