fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Gondomar,14286,33,
2020-11-22,Gondomar,14286,32,
2020-11-23,Gondomar,14286,31,
2020-11-24,Gondomar,14286,31,
2020-11-25,Gondomar,14286,93,
2020-11-26,Gondomar,14286,99,
2020-11-27,Gondomar,14286,101,
2020-11-28,Gondomar,14286,101,
2020-11-29,Gondomar,14286,122,
2020-11-30,Gondomar,14286,124,
2020-12-01,Gondomar,14286,122,
2020-12-02,Gondomar,14286,126,
2020-12-03,Gondomar,14286,126,
2020-12-04,Gondomar,14286,128,
2020-12-05,Gondomar,14286,117,
2020-12-06,Gondomar,14286,125,
2020-12-07,Gondomar,14286,125,
2020-12-08,Gondomar,14286,125,
2020-12-09,Gondomar,14286,65,
2020-12-10,Gondomar,14286,60,
2020-12-11,Gondomar,14286,61,
2020-12-12,Gondomar,14286,61,
2020-12-13,Gondomar,14286,41,
2020-12-14,Gondomar,14286,42,
2020-12-15,Gondomar,14286,42,
2020-12-16,Gondomar,14286,38,
2020-12-17,Gondomar,14286,40,
2020-12-18,Gondomar,14286,41,
2020-12-19,Gondomar,14286,36,
2020-12-20,Gondomar,14286,35,
2020-12-21,Gondomar,14286,36,
2020-12-22,Gondomar,14286,37,
2020-12-23,Gondomar,14286,39,
2020-12-24,Gondomar,14286,39,
2020-12-25,Gondomar,14286,38,
2020-12-26,Gondomar,14286,41,
2020-12-27,Gondomar,14286,38,
2020-12-28,Gondomar,14286,36,
2020-12-29,Gondomar,14286,37,
2020-12-30,Gondomar,14286,36,
2020-12-31,Gondomar,14286,33,
2021-01-01,Gondomar,14286,32,
2021-01-02,Gondomar,14286,32,
2021-01-03,Gondomar,14286,28,
2021-01-04,Gondomar,14286,29,
2021-01-05,Gondomar,14286,28,
2021-01-06,Gondomar,14286,24,
2021-01-07,Gondomar,14286,25,
2021-01-08,Gondomar,14286,23,
2021-01-09,Gondomar,14286,25,
2021-01-10,Gondomar,14286,26,
2021-01-11,Gondomar,14286,27,
2021-01-12,Gondomar,14286,31,
2021-01-13,Gondomar,14286,36,
2021-01-14,Gondomar,14286,41,
2021-01-15,Gondomar,14286,45,
2021-01-16,Gondomar,14286,51,
2021-01-17,Gondomar,14286,51,
2021-01-18,Gondomar,14286,52,
2021-01-19,Gondomar,14286,55,
2021-01-20,Gondomar,14286,60,
2021-01-21,Gondomar,14286,63,
2021-01-22,Gondomar,14286,67,
2021-01-23,Gondomar,14286,68,
2021-01-24,Gondomar,14286,73,
2021-01-25,Gondomar,14286,78,
2021-01-26,Gondomar,14286,75,
2021-01-27,Gondomar,14286,73,
2021-01-28,Gondomar,14286,68,
2021-01-29,Gondomar,14286,69,
2021-01-30,Gondomar,14286,65,
2021-01-31,Gondomar,14286,65,
2021-02-01,Gondomar,14286,65,
2021-02-02,Gondomar,14286,68,
2021-02-03,Gondomar,14286,64,
2021-02-04,Gondomar,14286,60,
2021-02-05,Gondomar,14286,55,
2021-02-06,Gondomar,14286,48,
2021-02-07,Gondomar,14286,41,
2021-02-08,Gondomar,14286,35,
2021-02-09,Gondomar,14286,33,
2021-02-10,Gondomar,14286,32,
2021-02-11,Gondomar,14286,31,
2021-02-12,Gondomar,14286,29,
2021-02-13,Gondomar,14286,26,
2021-02-14,Gondomar,14286,26,
2021-02-15,Gondomar,14286,25,
2021-02-16,Gondomar,14286,19,
2021-02-17,Gondomar,14286,18,
2021-02-18,Gondomar,14286,16,
2021-02-19,Gondomar,14286,16,
2021-02-20,Gondomar,14286,16,
2021-02-21,Gondomar,14286,17,
2021-02-22,Gondomar,14286,17,
2021-02-23,Gondomar,14286,18,
2021-02-24,Gondomar,14286,20,
2021-02-25,Gondomar,14286,19,
2021-02-26,Gondomar,14286,15,
2021-02-27,Gondomar,14286,15,
2021-02-28,Gondomar,14286,11,
2021-03-01,Gondomar,14286,,
2021-03-02,Gondomar,14286,,
2021-03-03,Gondomar,14286,,
2021-03-04,Gondomar,14286,,
2021-03-05,Gondomar,14286,,0
2021-03-06,Gondomar,14286,,0
2021-03-07,Gondomar,14286,,0
2021-03-08,Gondomar,14286,,0
2021-03-09,Gondomar,14286,,0
2021-03-10,Gondomar,14286,,0
2021-03-11,Gondomar,14286,,0
2021-03-12,Gondomar,14286,,
2021-03-13,Gondomar,14286,,
2021-03-14,Gondomar,14286,,
2021-03-15,Gondomar,14286,,
2021-03-16,Gondomar,14286,,
2021-03-17,Gondomar,14286,,
2021-03-18,Gondomar,14286,,
2021-03-19,Gondomar,14286,,
2021-03-20,Gondomar,14286,12,11
2021-03-21,Gondomar,14286,12,10
2021-03-22,Gondomar,14286,13,11
2021-03-23,Gondomar,14286,13,10
2021-03-24,Gondomar,14286,14,
2021-03-25,Gondomar,14286,18,12
2021-03-26,Gondomar,14286,17,10
2021-03-27,Gondomar,14286,20,10
2021-03-28,Gondomar,14286,20,11
2021-03-29,Gondomar,14286,24,14
2021-03-30,Gondomar,14286,23,14
2021-03-31,Gondomar,14286,21,14
2021-04-01,Gondomar,14286,24,13
2021-04-02,Gondomar,14286,28,19
2021-04-03,Gondomar,14286,26,16
2021-04-04,Gondomar,14286,26,15
2021-04-05,Gondomar,14286,26,12
2021-04-06,Gondomar,14286,28,14
2021-04-07,Gondomar,14286,27,13
2021-04-08,Gondomar,14286,23,10
2021-04-09,Gondomar,14286,24,
2021-04-10,Gondomar,14286,24,
2021-04-11,Gondomar,14286,23,
2021-04-12,Gondomar,14286,19,
2021-04-13,Gondomar,14286,22,
2021-04-14,Gondomar,14286,21,
2021-04-15,Gondomar,14286,20,10
2021-04-16,Gondomar,14286,16,11
2021-04-17,Gondomar,14286,17,
2021-04-18,Gondomar,14286,22,14
2021-04-19,Gondomar,14286,23,16
2021-04-20,Gondomar,14286,23,15
2021-04-21,Gondomar,14286,23,15
2021-04-22,Gondomar,14286,23,13
2021-04-23,Gondomar,14286,26,15
2021-04-24,Gondomar,14286,26,17
2021-04-25,Gondomar,14286,30,16
2021-04-26,Gondomar,14286,30,14
2021-04-27,Gondomar,14286,31,16
2021-04-28,Gondomar,14286,35,20
2021-04-29,Gondomar,14286,35,22
2021-04-30,Gondomar,14286,34,19
2021-05-01,Gondomar,14286,34,17
2021-05-02,Gondomar,14286,30,14
2021-05-03,Gondomar,14286,28,14
2021-05-04,Gondomar,14286,26,10
2021-05-05,Gondomar,14286,29,
2021-05-06,Gondomar,14286,29,
2021-05-07,Gondomar,14286,27,
2021-05-08,Gondomar,14286,23,
2021-05-09,Gondomar,14286,22,
2021-05-10,Gondomar,14286,23,
2021-05-11,Gondomar,14286,19,
2021-05-12,Gondomar,14286,18,
2021-05-13,Gondomar,14286,18,11
2021-05-14,Gondomar,14286,19,11
2021-05-15,Gondomar,14286,17,11
2021-05-16,Gondomar,14286,16,
2021-05-17,Gondomar,14286,16,
2021-05-18,Gondomar,14286,16,
2021-05-19,Gondomar,14286,14,
2021-05-20,Gondomar,14286,15,
2021-05-21,Gondomar,14286,14,
2021-05-22,Gondomar,14286,14,
2021-05-23,Gondomar,14286,11,
2021-05-24,Gondomar,14286,12,
2021-05-25,Gondomar,14286,13,
2021-05-26,Gondomar,14286,11,
2021-05-27,Gondomar,14286,,
2021-05-28,Gondomar,14286,,
2021-05-29,Gondomar,14286,,
2021-05-30,Gondomar,14286,10,
2021-05-31,Gondomar,14286,12,
2021-06-01,Gondomar,14286,12,
2021-06-02,Gondomar,14286,11,
2021-06-03,Gondomar,14286,11,
2021-06-04,Gondomar,14286,10,
2021-06-05,Gondomar,14286,11,
2021-06-06,Gondomar,14286,11,
2021-06-07,Gondomar,14286,,
2021-06-08,Gondomar,14286,,
2021-06-09,Gondomar,14286,,
2021-06-10,Gondomar,14286,10,
2021-06-11,Gondomar,14286,11,
2021-06-12,Gondomar,14286,11,
2021-06-13,Gondomar,14286,12,
2021-06-14,Gondomar,14286,10,
2021-06-15,Gondomar,14286,10,
2021-06-16,Gondomar,14286,10,
2021-06-17,Gondomar,14286,,
2021-06-18,Gondomar,14286,,
2021-06-19,Gondomar,14286,,
2021-06-20,Gondomar,14286,,0
2021-06-21,Gondomar,14286,,0
2021-06-22,Gondomar,14286,,0
2021-06-23,Gondomar,14286,,
2021-06-24,Gondomar,14286,,
2021-06-25,Gondomar,14286,,
2021-06-26,Gondomar,14286,,
2021-06-27,Gondomar,14286,,
2021-06-28,Gondomar,14286,,
2021-06-29,Gondomar,14286,,
2021-06-30,Gondomar,14286,,
2021-07-01,Gondomar,14286,,
2021-07-02,Gondomar,14286,,
2021-07-03,Gondomar,14286,,
2021-07-04,Gondomar,14286,,
2021-07-05,Gondomar,14286,,
2021-07-06,Gondomar,14286,,
2021-07-07,Gondomar,14286,12,
2021-07-08,Gondomar,14286,12,
2021-07-09,Gondomar,14286,13,
2021-07-10,Gondomar,14286,11,
2021-07-11,Gondomar,14286,10,
2021-07-12,Gondomar,14286,10,
2021-07-13,Gondomar,14286,15,11
2021-07-14,Gondomar,14286,15,
2021-07-15,Gondomar,14286,22,16
2021-07-16,Gondomar,14286,31,24
2021-07-17,Gondomar,14286,45,39
2021-07-18,Gondomar,14286,56,50
2021-07-19,Gondomar,14286,70,64
2021-07-20,Gondomar,14286,78,67
2021-07-21,Gondomar,14286,80,72
2021-07-22,Gondomar,14286,95,79
2021-07-23,Gondomar,14286,112,88
2021-07-24,Gondomar,14286,117,78
2021-07-25,Gondomar,14286,126,76
2021-07-26,Gondomar,14286,138,74
2021-07-27,Gondomar,14286,144,77
2021-07-28,Gondomar,14286,146,74
2021-07-29,Gondomar,14286,145,66
2021-07-30,Gondomar,14286,149,61
2021-07-31,Gondomar,14286,139,61
2021-08-01,Gondomar,14286,144,68
2021-08-02,Gondomar,14286,133,59
2021-08-03,Gondomar,14286,127,50
2021-08-04,Gondomar,14286,129,55
2021-08-05,Gondomar,14286,117,51
2021-08-06,Gondomar,14286,101,40
2021-08-07,Gondomar,14286,102,39
2021-08-08,Gondomar,14286,96,28
2021-08-09,Gondomar,14286,87,28
2021-08-10,Gondomar,14286,77,27
2021-08-11,Gondomar,14286,77,22
2021-08-12,Gondomar,14286,72,21
2021-08-13,Gondomar,14286,60,19
2021-08-14,Gondomar,14286,59,19
2021-08-15,Gondomar,14286,47,18
2021-08-16,Gondomar,14286,45,16
2021-08-17,Gondomar,14286,45,17
2021-08-18,Gondomar,14286,40,17
2021-08-19,Gondomar,14286,40,19
2021-08-20,Gondomar,14286,44,25
2021-08-21,Gondomar,14286,44,25
2021-08-22,Gondomar,14286,43,25
2021-08-23,Gondomar,14286,42,26
2021-08-24,Gondomar,14286,41,24
2021-08-25,Gondomar,14286,43,26
2021-08-26,Gondomar,14286,45,26
2021-08-27,Gondomar,14286,45,20
2021-08-28,Gondomar,14286,38,13
2021-08-29,Gondomar,14286,38,13
2021-08-30,Gondomar,14286,38,12
2021-08-31,Gondomar,14286,36,12
2021-09-01,Gondomar,14286,33,
2021-09-02,Gondomar,14286,33,
2021-09-03,Gondomar,14286,27,
2021-09-04,Gondomar,14286,22,
2021-09-05,Gondomar,14286,21,
2021-09-06,Gondomar,14286,19,
2021-09-07,Gondomar,14286,19,
2021-09-08,Gondomar,14286,14,
2021-09-09,Gondomar,14286,11,
2021-09-10,Gondomar,14286,10,
2021-09-11,Gondomar,14286,10,
2021-09-12,Gondomar,14286,,
2021-09-13,Gondomar,14286,,
2021-09-14,Gondomar,14286,,
2021-09-15,Gondomar,14286,10,
2021-09-16,Gondomar,14286,,
2021-09-17,Gondomar,14286,,
2021-09-18,Gondomar,14286,,
2021-09-19,Gondomar,14286,,
2021-09-20,Gondomar,14286,,
2021-09-21,Gondomar,14286,,
2021-09-22,Gondomar,14286,,
2021-09-23,Gondomar,14286,,
2021-09-24,Gondomar,14286,,
2021-09-25,Gondomar,14286,,
2021-09-26,Gondomar,14286,,
2021-09-27,Gondomar,14286,,
2021-09-28,Gondomar,14286,,
2021-09-29,Gondomar,14286,,
2021-09-30,Gondomar,14286,,
2021-10-01,Gondomar,14286,,
2021-10-02,Gondomar,14286,,
2021-10-03,Gondomar,14286,,
2021-10-04,Gondomar,14286,,
2021-10-05,Gondomar,14286,,
2021-10-06,Gondomar,14286,,
2021-10-07,Gondomar,14286,,
2021-10-08,Gondomar,14286,,
2021-10-09,Gondomar,14286,,0
2021-10-10,Gondomar,14286,,0
2021-10-11,Gondomar,14286,,
2021-10-12,Gondomar,14286,,
2021-10-13,Gondomar,14286,,
2021-10-14,Gondomar,14286,,
2021-10-15,Gondomar,14286,,
2021-10-16,Gondomar,14286,,
2021-10-17,Gondomar,14286,,
2021-10-18,Gondomar,14286,,
2021-10-19,Gondomar,14286,,
2021-10-20,Gondomar,14286,,0
2021-10-21,Gondomar,14286,,
2021-10-22,Gondomar,14286,,
2021-10-23,Gondomar,14286,,
2021-10-24,Gondomar,14286,,
2021-10-25,Gondomar,14286,,
2021-10-26,Gondomar,14286,,
2021-10-27,Gondomar,14286,,
2021-10-28,Gondomar,14286,,
2021-10-29,Gondomar,14286,,
2021-10-30,Gondomar,14286,,
2021-10-31,Gondomar,14286,,
2021-11-01,Gondomar,14286,,
2021-11-02,Gondomar,14286,,0
2021-11-03,Gondomar,14286,,0
2021-11-04,Gondomar,14286,,0
2021-11-05,Gondomar,14286,,0
2021-11-06,Gondomar,14286,,0
2021-11-07,Gondomar,14286,,
2021-11-08,Gondomar,14286,,
2021-11-09,Gondomar,14286,,
2021-11-10,Gondomar,14286,,
2021-11-11,Gondomar,14286,,
2021-11-12,Gondomar,14286,,
2021-11-13,Gondomar,14286,,
2021-11-14,Gondomar,14286,,
2021-11-15,Gondomar,14286,,
2021-11-16,Gondomar,14286,,
2021-11-17,Gondomar,14286,,
2021-11-18,Gondomar,14286,,
2021-11-19,Gondomar,14286,,
2021-11-20,Gondomar,14286,,
2021-11-21,Gondomar,14286,,
