fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Pazos de Borbén",2999,18,
2020-11-22,"Pazos de Borbén",2999,17,
2020-11-23,"Pazos de Borbén",2999,15,
2020-11-24,"Pazos de Borbén",2999,14,
2020-11-25,"Pazos de Borbén",2999,13,
2020-11-26,"Pazos de Borbén",2999,13,
2020-11-27,"Pazos de Borbén",2999,,
2020-11-28,"Pazos de Borbén",2999,,
2020-11-29,"Pazos de Borbén",2999,,
2020-11-30,"Pazos de Borbén",2999,,
2020-12-01,"Pazos de Borbén",2999,,
2020-12-02,"Pazos de Borbén",2999,,
2020-12-03,"Pazos de Borbén",2999,,
2020-12-04,"Pazos de Borbén",2999,,
2020-12-05,"Pazos de Borbén",2999,,
2020-12-06,"Pazos de Borbén",2999,,
2020-12-07,"Pazos de Borbén",2999,,
2020-12-08,"Pazos de Borbén",2999,,
2020-12-09,"Pazos de Borbén",2999,,
2020-12-10,"Pazos de Borbén",2999,,
2020-12-11,"Pazos de Borbén",2999,,
2020-12-12,"Pazos de Borbén",2999,,
2020-12-13,"Pazos de Borbén",2999,,
2020-12-14,"Pazos de Borbén",2999,,
2020-12-15,"Pazos de Borbén",2999,,
2020-12-16,"Pazos de Borbén",2999,,
2020-12-17,"Pazos de Borbén",2999,,
2020-12-18,"Pazos de Borbén",2999,,
2020-12-19,"Pazos de Borbén",2999,,
2020-12-20,"Pazos de Borbén",2999,,
2020-12-21,"Pazos de Borbén",2999,,
2020-12-22,"Pazos de Borbén",2999,,
2020-12-23,"Pazos de Borbén",2999,,
2020-12-24,"Pazos de Borbén",2999,,
2020-12-25,"Pazos de Borbén",2999,,
2020-12-26,"Pazos de Borbén",2999,,
2020-12-27,"Pazos de Borbén",2999,,
2020-12-28,"Pazos de Borbén",2999,,
2020-12-29,"Pazos de Borbén",2999,,
2020-12-30,"Pazos de Borbén",2999,,
2020-12-31,"Pazos de Borbén",2999,,
2021-01-01,"Pazos de Borbén",2999,,
2021-01-02,"Pazos de Borbén",2999,,
2021-01-03,"Pazos de Borbén",2999,,
2021-01-04,"Pazos de Borbén",2999,,
2021-01-05,"Pazos de Borbén",2999,,
2021-01-06,"Pazos de Borbén",2999,,
2021-01-07,"Pazos de Borbén",2999,,
2021-01-08,"Pazos de Borbén",2999,,
2021-01-09,"Pazos de Borbén",2999,,
2021-01-10,"Pazos de Borbén",2999,,
2021-01-11,"Pazos de Borbén",2999,,
2021-01-12,"Pazos de Borbén",2999,,
2021-01-13,"Pazos de Borbén",2999,,
2021-01-14,"Pazos de Borbén",2999,,
2021-01-15,"Pazos de Borbén",2999,11,
2021-01-16,"Pazos de Borbén",2999,11,
2021-01-17,"Pazos de Borbén",2999,24,
2021-01-18,"Pazos de Borbén",2999,24,
2021-01-19,"Pazos de Borbén",2999,24,
2021-01-20,"Pazos de Borbén",2999,22,
2021-01-21,"Pazos de Borbén",2999,31,
2021-01-22,"Pazos de Borbén",2999,31,
2021-01-23,"Pazos de Borbén",2999,30,
2021-01-24,"Pazos de Borbén",2999,30,
2021-01-25,"Pazos de Borbén",2999,31,
2021-01-26,"Pazos de Borbén",2999,32,
2021-01-27,"Pazos de Borbén",2999,32,
2021-01-28,"Pazos de Borbén",2999,35,
2021-01-29,"Pazos de Borbén",2999,29,
2021-01-30,"Pazos de Borbén",2999,31,
2021-01-31,"Pazos de Borbén",2999,21,
2021-02-01,"Pazos de Borbén",2999,27,
2021-02-02,"Pazos de Borbén",2999,29,
2021-02-03,"Pazos de Borbén",2999,32,
2021-02-04,"Pazos de Borbén",2999,28,
2021-02-05,"Pazos de Borbén",2999,32,
2021-02-06,"Pazos de Borbén",2999,34,
2021-02-07,"Pazos de Borbén",2999,35,
2021-02-08,"Pazos de Borbén",2999,35,
2021-02-09,"Pazos de Borbén",2999,35,
2021-02-10,"Pazos de Borbén",2999,37,
2021-02-11,"Pazos de Borbén",2999,34,
2021-02-12,"Pazos de Borbén",2999,33,
2021-02-13,"Pazos de Borbén",2999,32,
2021-02-14,"Pazos de Borbén",2999,30,
2021-02-15,"Pazos de Borbén",2999,25,
2021-02-16,"Pazos de Borbén",2999,24,
2021-02-17,"Pazos de Borbén",2999,22,
2021-02-18,"Pazos de Borbén",2999,17,
2021-02-19,"Pazos de Borbén",2999,14,
2021-02-20,"Pazos de Borbén",2999,12,
2021-02-21,"Pazos de Borbén",2999,12,
2021-02-22,"Pazos de Borbén",2999,11,
2021-02-23,"Pazos de Borbén",2999,10,
2021-02-24,"Pazos de Borbén",2999,,
2021-02-25,"Pazos de Borbén",2999,,
2021-02-26,"Pazos de Borbén",2999,10,
2021-02-27,"Pazos de Borbén",2999,11,
2021-02-28,"Pazos de Borbén",2999,10,
2021-03-01,"Pazos de Borbén",2999,,
2021-03-02,"Pazos de Borbén",2999,,
2021-03-03,"Pazos de Borbén",2999,,
2021-03-04,"Pazos de Borbén",2999,,
2021-03-05,"Pazos de Borbén",2999,,
2021-03-06,"Pazos de Borbén",2999,,0
2021-03-07,"Pazos de Borbén",2999,,
2021-03-08,"Pazos de Borbén",2999,,
2021-03-09,"Pazos de Borbén",2999,,
2021-03-10,"Pazos de Borbén",2999,,
2021-03-11,"Pazos de Borbén",2999,,
2021-03-12,"Pazos de Borbén",2999,,
2021-03-13,"Pazos de Borbén",2999,,
2021-03-14,"Pazos de Borbén",2999,,
2021-03-15,"Pazos de Borbén",2999,,
2021-03-16,"Pazos de Borbén",2999,,
