fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Catoira,3335,0,
2020-11-22,Catoira,3335,0,
2020-11-23,Catoira,3335,0,
2020-11-24,Catoira,3335,0,
2020-11-25,Catoira,3335,0,
2020-11-26,Catoira,3335,0,
2020-11-27,Catoira,3335,0,
2020-11-28,Catoira,3335,0,
2020-11-29,Catoira,3335,0,
2020-11-30,Catoira,3335,0,
2020-12-01,Catoira,3335,0,
2020-12-02,Catoira,3335,0,
2020-12-03,Catoira,3335,0,
2020-12-04,Catoira,3335,0,
2020-12-05,Catoira,3335,0,
2020-12-06,Catoira,3335,0,
2020-12-07,Catoira,3335,0,
2020-12-08,Catoira,3335,0,
2020-12-09,Catoira,3335,0,
2020-12-10,Catoira,3335,,
2020-12-11,Catoira,3335,,
2020-12-12,Catoira,3335,,
2020-12-13,Catoira,3335,,
2020-12-14,Catoira,3335,,
2020-12-15,Catoira,3335,,
2020-12-16,Catoira,3335,,
2020-12-17,Catoira,3335,,
2020-12-18,Catoira,3335,,
2020-12-19,Catoira,3335,,
2020-12-20,Catoira,3335,14,
2020-12-21,Catoira,3335,14,
2020-12-22,Catoira,3335,15,
2020-12-23,Catoira,3335,16,
2020-12-24,Catoira,3335,16,
2020-12-25,Catoira,3335,18,
2020-12-26,Catoira,3335,18,
2020-12-27,Catoira,3335,20,
2020-12-28,Catoira,3335,20,
2020-12-29,Catoira,3335,19,
2020-12-30,Catoira,3335,18,
2020-12-31,Catoira,3335,18,
2021-01-01,Catoira,3335,17,
2021-01-02,Catoira,3335,16,
2021-01-03,Catoira,3335,10,
2021-01-04,Catoira,3335,12,
2021-01-05,Catoira,3335,13,
2021-01-06,Catoira,3335,12,
2021-01-07,Catoira,3335,15,
2021-01-08,Catoira,3335,15,
2021-01-09,Catoira,3335,18,
2021-01-10,Catoira,3335,14,
2021-01-11,Catoira,3335,17,
2021-01-12,Catoira,3335,17,
2021-01-13,Catoira,3335,20,
2021-01-14,Catoira,3335,22,
2021-01-15,Catoira,3335,25,
2021-01-16,Catoira,3335,29,
2021-01-17,Catoira,3335,32,
2021-01-18,Catoira,3335,34,
2021-01-19,Catoira,3335,34,
2021-01-20,Catoira,3335,34,
2021-01-21,Catoira,3335,31,
2021-01-22,Catoira,3335,29,
2021-01-23,Catoira,3335,27,
2021-01-24,Catoira,3335,28,
2021-01-25,Catoira,3335,26,
2021-01-26,Catoira,3335,27,
2021-01-27,Catoira,3335,25,
2021-01-28,Catoira,3335,26,
2021-01-29,Catoira,3335,24,
2021-01-30,Catoira,3335,20,
2021-01-31,Catoira,3335,19,
2021-02-01,Catoira,3335,15,
2021-02-02,Catoira,3335,15,
2021-02-03,Catoira,3335,15,
2021-02-04,Catoira,3335,14,
2021-02-05,Catoira,3335,13,
2021-02-06,Catoira,3335,12,
2021-02-07,Catoira,3335,11,
2021-02-08,Catoira,3335,11,
2021-02-09,Catoira,3335,11,
2021-02-10,Catoira,3335,10,
2021-02-11,Catoira,3335,10,
2021-02-12,Catoira,3335,11,
2021-02-13,Catoira,3335,14,
2021-02-14,Catoira,3335,13,
2021-02-15,Catoira,3335,17,
2021-02-16,Catoira,3335,17,
2021-02-17,Catoira,3335,17,
2021-02-18,Catoira,3335,17,
2021-02-19,Catoira,3335,17,
2021-02-20,Catoira,3335,18,
2021-02-21,Catoira,3335,18,
2021-02-22,Catoira,3335,17,
2021-02-23,Catoira,3335,16,
2021-02-24,Catoira,3335,16,
2021-02-25,Catoira,3335,13,
2021-02-26,Catoira,3335,11,
2021-02-27,Catoira,3335,,
2021-02-28,Catoira,3335,,
2021-03-01,Catoira,3335,,
2021-03-02,Catoira,3335,,
2021-03-03,Catoira,3335,,
2021-03-04,Catoira,3335,,
2021-03-05,Catoira,3335,,
2021-03-06,Catoira,3335,,
2021-03-07,Catoira,3335,,
2021-03-08,Catoira,3335,,
2021-03-09,Catoira,3335,,
2021-03-10,Catoira,3335,,
2021-03-11,Catoira,3335,,
2021-03-12,Catoira,3335,,0
2021-03-13,Catoira,3335,,0
2021-03-14,Catoira,3335,,0
2021-03-15,Catoira,3335,,0
2021-03-16,Catoira,3335,,0
2021-03-17,Catoira,3335,,0
2021-03-18,Catoira,3335,,0
2021-03-19,Catoira,3335,0,0
2021-03-20,Catoira,3335,0,0
2021-03-21,Catoira,3335,0,0
2021-03-22,Catoira,3335,0,0
2021-03-23,Catoira,3335,0,0
