fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Meaño,5272,17,
2020-11-22,Meaño,5272,16,
2020-11-23,Meaño,5272,15,
2020-11-24,Meaño,5272,20,
2020-11-25,Meaño,5272,20,
2020-11-26,Meaño,5272,27,
2020-11-27,Meaño,5272,23,
2020-11-28,Meaño,5272,22,
2020-11-29,Meaño,5272,22,
2020-11-30,Meaño,5272,22,
2020-12-01,Meaño,5272,19,
2020-12-02,Meaño,5272,19,
2020-12-03,Meaño,5272,18,
2020-12-04,Meaño,5272,17,
2020-12-05,Meaño,5272,18,
2020-12-06,Meaño,5272,19,
2020-12-07,Meaño,5272,19,
2020-12-08,Meaño,5272,16,
2020-12-09,Meaño,5272,17,
2020-12-10,Meaño,5272,10,
2020-12-11,Meaño,5272,11,
2020-12-12,Meaño,5272,10,
2020-12-13,Meaño,5272,12,
2020-12-14,Meaño,5272,11,
2020-12-15,Meaño,5272,12,
2020-12-16,Meaño,5272,13,
2020-12-17,Meaño,5272,13,
2020-12-18,Meaño,5272,17,
2020-12-19,Meaño,5272,17,
2020-12-20,Meaño,5272,16,
2020-12-21,Meaño,5272,15,
2020-12-22,Meaño,5272,15,
2020-12-23,Meaño,5272,14,
2020-12-24,Meaño,5272,16,
2020-12-25,Meaño,5272,16,
2020-12-26,Meaño,5272,18,
2020-12-27,Meaño,5272,20,
2020-12-28,Meaño,5272,21,
2020-12-29,Meaño,5272,22,
2020-12-30,Meaño,5272,21,
2020-12-31,Meaño,5272,20,
2021-01-01,Meaño,5272,16,
2021-01-02,Meaño,5272,15,
2021-01-03,Meaño,5272,15,
2021-01-04,Meaño,5272,15,
2021-01-05,Meaño,5272,13,
2021-01-06,Meaño,5272,13,
2021-01-07,Meaño,5272,11,
2021-01-08,Meaño,5272,10,
2021-01-09,Meaño,5272,11,
2021-01-10,Meaño,5272,,
2021-01-11,Meaño,5272,,
2021-01-12,Meaño,5272,,
2021-01-13,Meaño,5272,,
2021-01-14,Meaño,5272,12,
2021-01-15,Meaño,5272,12,
2021-01-16,Meaño,5272,12,
2021-01-17,Meaño,5272,12,
2021-01-18,Meaño,5272,13,
2021-01-19,Meaño,5272,13,
2021-01-20,Meaño,5272,13,
2021-01-21,Meaño,5272,14,
2021-01-22,Meaño,5272,17,
2021-01-23,Meaño,5272,15,
2021-01-24,Meaño,5272,15,
2021-01-25,Meaño,5272,17,
2021-01-26,Meaño,5272,19,
2021-01-27,Meaño,5272,19,
2021-01-28,Meaño,5272,13,
2021-01-29,Meaño,5272,19,
2021-01-30,Meaño,5272,22,
2021-01-31,Meaño,5272,26,
2021-02-01,Meaño,5272,26,
2021-02-02,Meaño,5272,27,
2021-02-03,Meaño,5272,30,
2021-02-04,Meaño,5272,31,
2021-02-05,Meaño,5272,30,
2021-02-06,Meaño,5272,32,
2021-02-07,Meaño,5272,34,
2021-02-08,Meaño,5272,35,
2021-02-09,Meaño,5272,34,
2021-02-10,Meaño,5272,37,
2021-02-11,Meaño,5272,38,
2021-02-12,Meaño,5272,32,
2021-02-13,Meaño,5272,33,
2021-02-14,Meaño,5272,31,
2021-02-15,Meaño,5272,33,
2021-02-16,Meaño,5272,32,
2021-02-17,Meaño,5272,30,
2021-02-18,Meaño,5272,28,
2021-02-19,Meaño,5272,26,
2021-02-20,Meaño,5272,22,
2021-02-21,Meaño,5272,20,
2021-02-22,Meaño,5272,18,
2021-02-23,Meaño,5272,17,
2021-02-24,Meaño,5272,14,
2021-02-25,Meaño,5272,11,
2021-02-26,Meaño,5272,12,
2021-02-27,Meaño,5272,,
2021-02-28,Meaño,5272,,
2021-03-01,Meaño,5272,,
2021-03-02,Meaño,5272,,
2021-03-03,Meaño,5272,,
2021-03-04,Meaño,5272,,
2021-03-05,Meaño,5272,,
2021-03-06,Meaño,5272,,
2021-03-07,Meaño,5272,,
2021-03-08,Meaño,5272,,
2021-03-09,Meaño,5272,,
2021-03-10,Meaño,5272,,
2021-03-11,Meaño,5272,,
2021-03-12,Meaño,5272,,
2021-03-13,Meaño,5272,,
2021-03-14,Meaño,5272,,
2021-03-15,Meaño,5272,,
2021-03-16,Meaño,5272,,
2021-03-17,Meaño,5272,,
2021-03-18,Meaño,5272,,
2021-03-19,Meaño,5272,,0
2021-03-20,Meaño,5272,,0
2021-03-21,Meaño,5272,,0
2021-03-22,Meaño,5272,,0
2021-03-23,Meaño,5272,,0
2021-03-24,Meaño,5272,,0
2021-03-25,Meaño,5272,,0
2021-03-26,Meaño,5272,0,0
2021-03-27,Meaño,5272,0,0
2021-03-28,Meaño,5272,0,0
2021-03-29,Meaño,5272,0,0
2021-03-30,Meaño,5272,,
2021-03-31,Meaño,5272,,
2021-04-01,Meaño,5272,,
2021-04-02,Meaño,5272,,
2021-04-03,Meaño,5272,,
2021-04-04,Meaño,5272,,
2021-04-05,Meaño,5272,,
2021-04-06,Meaño,5272,,
2021-04-07,Meaño,5272,,
2021-04-08,Meaño,5272,,
2021-04-09,Meaño,5272,,
2021-04-10,Meaño,5272,,
2021-04-11,Meaño,5272,,
2021-04-12,Meaño,5272,,
2021-04-13,Meaño,5272,,
2021-04-14,Meaño,5272,,
2021-04-15,Meaño,5272,,
2021-04-16,Meaño,5272,,
2021-04-17,Meaño,5272,10,
2021-04-18,Meaño,5272,11,
2021-04-19,Meaño,5272,13,
2021-04-20,Meaño,5272,12,
2021-04-21,Meaño,5272,12,
2021-04-22,Meaño,5272,12,
2021-04-23,Meaño,5272,12,
2021-04-24,Meaño,5272,11,
2021-04-25,Meaño,5272,13,
2021-04-26,Meaño,5272,13,
2021-04-27,Meaño,5272,12,
2021-04-28,Meaño,5272,12,
2021-04-29,Meaño,5272,13,
2021-04-30,Meaño,5272,12,
2021-05-01,Meaño,5272,,
2021-05-02,Meaño,5272,,
2021-05-03,Meaño,5272,,
2021-05-04,Meaño,5272,,
2021-05-05,Meaño,5272,,
2021-05-06,Meaño,5272,,0
2021-05-07,Meaño,5272,,0
2021-05-08,Meaño,5272,,0
2021-05-09,Meaño,5272,,
2021-05-10,Meaño,5272,,
2021-05-11,Meaño,5272,,
2021-05-12,Meaño,5272,,
2021-05-13,Meaño,5272,,
2021-05-14,Meaño,5272,,
2021-05-15,Meaño,5272,,
2021-05-16,Meaño,5272,,
2021-05-17,Meaño,5272,,0
2021-05-18,Meaño,5272,,0
2021-05-19,Meaño,5272,,0
2021-05-20,Meaño,5272,,0
2021-05-21,Meaño,5272,,0
2021-05-22,Meaño,5272,,0
2021-05-23,Meaño,5272,,0
2021-05-24,Meaño,5272,0,0
2021-05-25,Meaño,5272,0,0
2021-05-26,Meaño,5272,0,0
2021-05-27,Meaño,5272,0,0
2021-05-28,Meaño,5272,0,0
2021-05-29,Meaño,5272,,
2021-05-30,Meaño,5272,,
2021-05-31,Meaño,5272,,
2021-06-01,Meaño,5272,,
2021-06-02,Meaño,5272,,
2021-06-03,Meaño,5272,,
2021-06-04,Meaño,5272,,
2021-06-05,Meaño,5272,,
2021-06-06,Meaño,5272,,
2021-06-07,Meaño,5272,,
2021-06-08,Meaño,5272,,
2021-06-09,Meaño,5272,,
2021-06-10,Meaño,5272,,0
2021-06-11,Meaño,5272,,0
2021-06-12,Meaño,5272,,0
2021-06-13,Meaño,5272,,0
2021-06-14,Meaño,5272,,0
2021-06-15,Meaño,5272,,0
2021-06-16,Meaño,5272,,0
2021-06-17,Meaño,5272,0,0
2021-06-18,Meaño,5272,0,0
2021-06-19,Meaño,5272,,
2021-06-20,Meaño,5272,,
2021-06-21,Meaño,5272,,
2021-06-22,Meaño,5272,,
2021-06-23,Meaño,5272,,
2021-06-24,Meaño,5272,,
2021-06-25,Meaño,5272,,
2021-06-26,Meaño,5272,,
2021-06-27,Meaño,5272,,
2021-06-28,Meaño,5272,,0
2021-06-29,Meaño,5272,,0
2021-06-30,Meaño,5272,,
2021-07-01,Meaño,5272,,
2021-07-02,Meaño,5272,,
2021-07-03,Meaño,5272,,
2021-07-04,Meaño,5272,,
2021-07-05,Meaño,5272,,
2021-07-06,Meaño,5272,,
2021-07-07,Meaño,5272,,
2021-07-08,Meaño,5272,,
2021-07-09,Meaño,5272,,
2021-07-10,Meaño,5272,,
2021-07-11,Meaño,5272,,
2021-07-12,Meaño,5272,11,
2021-07-13,Meaño,5272,13,10
2021-07-14,Meaño,5272,19,16
2021-07-15,Meaño,5272,23,20
2021-07-16,Meaño,5272,28,23
2021-07-17,Meaño,5272,41,35
2021-07-18,Meaño,5272,40,34
2021-07-19,Meaño,5272,41,33
2021-07-20,Meaño,5272,46,36
2021-07-21,Meaño,5272,52,36
2021-07-22,Meaño,5272,56,36
2021-07-23,Meaño,5272,61,38
2021-07-24,Meaño,5272,67,32
2021-07-25,Meaño,5272,70,36
2021-07-26,Meaño,5272,72,39
2021-07-27,Meaño,5272,77,41
2021-07-28,Meaño,5272,72,36
2021-07-29,Meaño,5272,70,34
2021-07-30,Meaño,5272,67,29
2021-07-31,Meaño,5272,61,29
2021-08-01,Meaño,5272,62,26
2021-08-02,Meaño,5272,63,24
2021-08-03,Meaño,5272,61,20
2021-08-04,Meaño,5272,54,18
2021-08-05,Meaño,5272,50,16
2021-08-06,Meaño,5272,44,15
2021-08-07,Meaño,5272,37,
2021-08-08,Meaño,5272,36,10
2021-08-09,Meaño,5272,34,10
2021-08-10,Meaño,5272,28,
2021-08-11,Meaño,5272,26,
2021-08-12,Meaño,5272,23,
2021-08-13,Meaño,5272,22,
2021-08-14,Meaño,5272,15,
2021-08-15,Meaño,5272,14,
2021-08-16,Meaño,5272,14,
2021-08-17,Meaño,5272,11,
2021-08-18,Meaño,5272,12,
2021-08-19,Meaño,5272,13,
2021-08-20,Meaño,5272,13,
2021-08-21,Meaño,5272,14,
2021-08-22,Meaño,5272,11,
2021-08-23,Meaño,5272,,
2021-08-24,Meaño,5272,,
2021-08-25,Meaño,5272,,
2021-08-26,Meaño,5272,,
2021-08-27,Meaño,5272,,
2021-08-28,Meaño,5272,,0
2021-08-29,Meaño,5272,,0
2021-08-30,Meaño,5272,,
2021-08-31,Meaño,5272,,
2021-09-01,Meaño,5272,,
2021-09-02,Meaño,5272,,
2021-09-03,Meaño,5272,,
2021-09-04,Meaño,5272,,
2021-09-05,Meaño,5272,,
2021-09-06,Meaño,5272,,0
2021-09-07,Meaño,5272,,0
2021-09-08,Meaño,5272,,0
2021-09-09,Meaño,5272,,
2021-09-10,Meaño,5272,,
2021-09-11,Meaño,5272,,
2021-09-12,Meaño,5272,,
2021-09-13,Meaño,5272,,
2021-09-14,Meaño,5272,,
2021-09-15,Meaño,5272,,
2021-09-16,Meaño,5272,,0
2021-09-17,Meaño,5272,,0
2021-09-18,Meaño,5272,,0
2021-09-19,Meaño,5272,,0
2021-09-20,Meaño,5272,,0
2021-09-21,Meaño,5272,,0
2021-09-22,Meaño,5272,,0
2021-09-23,Meaño,5272,0,0
2021-09-24,Meaño,5272,0,0
2021-09-25,Meaño,5272,0,0
2021-09-26,Meaño,5272,0,0
2021-09-27,Meaño,5272,0,0
2021-09-28,Meaño,5272,0,0
2021-09-29,Meaño,5272,0,0
2021-09-30,Meaño,5272,0,0
2021-10-01,Meaño,5272,0,0
2021-10-02,Meaño,5272,0,0
2021-10-03,Meaño,5272,0,0
2021-10-04,Meaño,5272,0,0
2021-10-05,Meaño,5272,0,0
2021-10-06,Meaño,5272,0,0
2021-10-07,Meaño,5272,0,0
2021-10-08,Meaño,5272,0,0
2021-10-09,Meaño,5272,0,0
2021-10-10,Meaño,5272,0,0
2021-10-11,Meaño,5272,0,0
2021-10-12,Meaño,5272,0,0
2021-10-13,Meaño,5272,0,0
2021-10-14,Meaño,5272,0,0
2021-10-15,Meaño,5272,0,0
2021-10-16,Meaño,5272,0,0
2021-10-17,Meaño,5272,0,0
2021-10-18,Meaño,5272,0,0
2021-10-19,Meaño,5272,0,0
2021-10-20,Meaño,5272,0,0
2021-10-21,Meaño,5272,0,0
2021-10-22,Meaño,5272,0,0
2021-10-23,Meaño,5272,0,0
2021-10-24,Meaño,5272,0,0
2021-10-25,Meaño,5272,0,0
2021-10-26,Meaño,5272,0,0
2021-10-27,Meaño,5272,0,0
2021-10-28,Meaño,5272,0,0
2021-10-29,Meaño,5272,0,0
2021-10-30,Meaño,5272,0,0
2021-10-31,Meaño,5272,0,0
2021-11-01,Meaño,5272,0,0
2021-11-02,Meaño,5272,0,0
