fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Ortigueira,5671,,
2020-11-22,Ortigueira,5671,,
2020-11-23,Ortigueira,5671,,
2020-11-24,Ortigueira,5671,,
2020-11-25,Ortigueira,5671,,
2020-11-26,Ortigueira,5671,,
2020-11-27,Ortigueira,5671,,
2020-11-28,Ortigueira,5671,,
2020-11-29,Ortigueira,5671,,
2020-11-30,Ortigueira,5671,,
2020-12-01,Ortigueira,5671,,
2020-12-02,Ortigueira,5671,,
2020-12-03,Ortigueira,5671,,
2020-12-04,Ortigueira,5671,,
2020-12-05,Ortigueira,5671,,
2020-12-06,Ortigueira,5671,,
2020-12-07,Ortigueira,5671,,
2020-12-08,Ortigueira,5671,,
2020-12-09,Ortigueira,5671,,
2020-12-10,Ortigueira,5671,,
2020-12-11,Ortigueira,5671,,
2020-12-12,Ortigueira,5671,,
2020-12-13,Ortigueira,5671,,
2020-12-14,Ortigueira,5671,,
2020-12-15,Ortigueira,5671,,
2020-12-16,Ortigueira,5671,,
2020-12-17,Ortigueira,5671,,
2020-12-18,Ortigueira,5671,,
2020-12-19,Ortigueira,5671,,
2020-12-20,Ortigueira,5671,,
2020-12-21,Ortigueira,5671,,
2020-12-22,Ortigueira,5671,,
2020-12-23,Ortigueira,5671,,
2020-12-24,Ortigueira,5671,,
2020-12-25,Ortigueira,5671,,
2020-12-26,Ortigueira,5671,,
2020-12-27,Ortigueira,5671,,
2020-12-28,Ortigueira,5671,,
2020-12-29,Ortigueira,5671,,
2020-12-30,Ortigueira,5671,,
2020-12-31,Ortigueira,5671,,
2021-01-01,Ortigueira,5671,,
2021-01-02,Ortigueira,5671,,
2021-01-03,Ortigueira,5671,,
2021-01-04,Ortigueira,5671,,
2021-01-05,Ortigueira,5671,,
2021-01-06,Ortigueira,5671,,
2021-01-07,Ortigueira,5671,10,
2021-01-08,Ortigueira,5671,16,
2021-01-09,Ortigueira,5671,21,
2021-01-10,Ortigueira,5671,26,
2021-01-11,Ortigueira,5671,36,
2021-01-12,Ortigueira,5671,36,
2021-01-13,Ortigueira,5671,39,
2021-01-14,Ortigueira,5671,46,
2021-01-15,Ortigueira,5671,50,
2021-01-16,Ortigueira,5671,62,
2021-01-17,Ortigueira,5671,68,
2021-01-18,Ortigueira,5671,70,
2021-01-19,Ortigueira,5671,77,
2021-01-20,Ortigueira,5671,81,
2021-01-21,Ortigueira,5671,89,
2021-01-22,Ortigueira,5671,90,
2021-01-23,Ortigueira,5671,93,
2021-01-24,Ortigueira,5671,94,
2021-01-25,Ortigueira,5671,93,
2021-01-26,Ortigueira,5671,100,
2021-01-27,Ortigueira,5671,100,
2021-01-28,Ortigueira,5671,102,
2021-01-29,Ortigueira,5671,101,
2021-01-30,Ortigueira,5671,89,
2021-01-31,Ortigueira,5671,88,
2021-02-01,Ortigueira,5671,93,
2021-02-02,Ortigueira,5671,91,
2021-02-03,Ortigueira,5671,87,
2021-02-04,Ortigueira,5671,82,
2021-02-05,Ortigueira,5671,76,
2021-02-06,Ortigueira,5671,69,
2021-02-07,Ortigueira,5671,65,
2021-02-08,Ortigueira,5671,55,
2021-02-09,Ortigueira,5671,48,
2021-02-10,Ortigueira,5671,45,
2021-02-11,Ortigueira,5671,36,
2021-02-12,Ortigueira,5671,32,
2021-02-13,Ortigueira,5671,32,
2021-02-14,Ortigueira,5671,26,
2021-02-15,Ortigueira,5671,18,
2021-02-16,Ortigueira,5671,13,
2021-02-17,Ortigueira,5671,10,
2021-02-18,Ortigueira,5671,,
2021-02-19,Ortigueira,5671,,
2021-02-20,Ortigueira,5671,,
2021-02-21,Ortigueira,5671,,
2021-02-22,Ortigueira,5671,,
2021-02-23,Ortigueira,5671,,
2021-02-24,Ortigueira,5671,,
2021-02-25,Ortigueira,5671,,
2021-02-26,Ortigueira,5671,0,
2021-02-27,Ortigueira,5671,,
2021-02-28,Ortigueira,5671,,
2021-03-01,Ortigueira,5671,,
2021-03-02,Ortigueira,5671,,
2021-03-03,Ortigueira,5671,,
2021-03-04,Ortigueira,5671,,
2021-03-05,Ortigueira,5671,,
2021-03-06,Ortigueira,5671,,
2021-03-07,Ortigueira,5671,,
2021-03-08,Ortigueira,5671,,
2021-03-09,Ortigueira,5671,,
2021-03-10,Ortigueira,5671,,0
2021-03-11,Ortigueira,5671,,0
2021-03-12,Ortigueira,5671,,0
2021-03-13,Ortigueira,5671,,
2021-03-14,Ortigueira,5671,,
2021-03-15,Ortigueira,5671,,
2021-03-16,Ortigueira,5671,,
2021-03-17,Ortigueira,5671,,
2021-03-18,Ortigueira,5671,,
2021-03-19,Ortigueira,5671,11,11
2021-03-20,Ortigueira,5671,11,10
2021-03-21,Ortigueira,5671,12,11
2021-03-22,Ortigueira,5671,13,
2021-03-23,Ortigueira,5671,18,12
2021-03-24,Ortigueira,5671,18,11
2021-03-25,Ortigueira,5671,18,
2021-03-26,Ortigueira,5671,19,
2021-03-27,Ortigueira,5671,16,
2021-03-28,Ortigueira,5671,17,
2021-03-29,Ortigueira,5671,13,
2021-03-30,Ortigueira,5671,14,
2021-03-31,Ortigueira,5671,14,
2021-04-01,Ortigueira,5671,12,
2021-04-02,Ortigueira,5671,10,
2021-04-03,Ortigueira,5671,10,
2021-04-04,Ortigueira,5671,,
2021-04-05,Ortigueira,5671,,
2021-04-06,Ortigueira,5671,,
2021-04-07,Ortigueira,5671,,
2021-04-08,Ortigueira,5671,,
2021-04-09,Ortigueira,5671,,
2021-04-10,Ortigueira,5671,,
2021-04-11,Ortigueira,5671,,
2021-04-12,Ortigueira,5671,,
2021-04-13,Ortigueira,5671,,
2021-04-14,Ortigueira,5671,,
2021-04-15,Ortigueira,5671,,
2021-04-16,Ortigueira,5671,,
2021-04-17,Ortigueira,5671,,
2021-04-18,Ortigueira,5671,,
2021-04-19,Ortigueira,5671,,
2021-04-20,Ortigueira,5671,,
2021-04-21,Ortigueira,5671,,
2021-04-22,Ortigueira,5671,,
2021-04-23,Ortigueira,5671,,0
2021-04-24,Ortigueira,5671,,0
2021-04-25,Ortigueira,5671,,0
2021-04-26,Ortigueira,5671,,0
2021-04-27,Ortigueira,5671,,0
2021-04-28,Ortigueira,5671,,0
2021-04-29,Ortigueira,5671,,0
2021-04-30,Ortigueira,5671,,
2021-05-01,Ortigueira,5671,,
2021-05-02,Ortigueira,5671,,
2021-05-03,Ortigueira,5671,,
2021-05-04,Ortigueira,5671,,
2021-05-05,Ortigueira,5671,,
2021-05-06,Ortigueira,5671,,
2021-05-07,Ortigueira,5671,,
2021-05-08,Ortigueira,5671,,0
2021-05-09,Ortigueira,5671,,0
2021-05-10,Ortigueira,5671,,0
2021-05-11,Ortigueira,5671,,0
2021-05-12,Ortigueira,5671,,0
2021-05-13,Ortigueira,5671,,0
