fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Camariñas,5272,17,
2020-11-22,Camariñas,5272,14,
2020-11-23,Camariñas,5272,13,
2020-11-24,Camariñas,5272,11,
2020-11-25,Camariñas,5272,,
2020-11-26,Camariñas,5272,,
2020-11-27,Camariñas,5272,,
2020-11-28,Camariñas,5272,10,
2020-11-29,Camariñas,5272,,
2020-11-30,Camariñas,5272,,
2020-12-01,Camariñas,5272,,
2020-12-02,Camariñas,5272,10,
2020-12-03,Camariñas,5272,,
2020-12-04,Camariñas,5272,,
2020-12-05,Camariñas,5272,,
2020-12-06,Camariñas,5272,10,
2020-12-07,Camariñas,5272,14,
2020-12-08,Camariñas,5272,15,
2020-12-09,Camariñas,5272,24,
2020-12-10,Camariñas,5272,23,
2020-12-11,Camariñas,5272,25,
2020-12-12,Camariñas,5272,27,
2020-12-13,Camariñas,5272,28,
2020-12-14,Camariñas,5272,29,
2020-12-15,Camariñas,5272,29,
2020-12-16,Camariñas,5272,27,
2020-12-17,Camariñas,5272,26,
2020-12-18,Camariñas,5272,26,
2020-12-19,Camariñas,5272,25,
2020-12-20,Camariñas,5272,26,
2020-12-21,Camariñas,5272,22,
2020-12-22,Camariñas,5272,22,
2020-12-23,Camariñas,5272,14,
2020-12-24,Camariñas,5272,14,
2020-12-25,Camariñas,5272,13,
2020-12-26,Camariñas,5272,10,
2020-12-27,Camariñas,5272,10,
2020-12-28,Camariñas,5272,,
2020-12-29,Camariñas,5272,10,
2020-12-30,Camariñas,5272,10,
2020-12-31,Camariñas,5272,11,
2021-01-01,Camariñas,5272,12,
2021-01-02,Camariñas,5272,12,
2021-01-03,Camariñas,5272,10,
2021-01-04,Camariñas,5272,17,
2021-01-05,Camariñas,5272,17,
2021-01-06,Camariñas,5272,28,
2021-01-07,Camariñas,5272,32,
2021-01-08,Camariñas,5272,38,
2021-01-09,Camariñas,5272,39,
2021-01-10,Camariñas,5272,56,
2021-01-11,Camariñas,5272,59,
2021-01-12,Camariñas,5272,65,
2021-01-13,Camariñas,5272,70,
2021-01-14,Camariñas,5272,83,
2021-01-15,Camariñas,5272,95,
2021-01-16,Camariñas,5272,104,
2021-01-17,Camariñas,5272,105,
2021-01-18,Camariñas,5272,101,
2021-01-19,Camariñas,5272,100,
2021-01-20,Camariñas,5272,88,
2021-01-21,Camariñas,5272,87,
2021-01-22,Camariñas,5272,85,
2021-01-23,Camariñas,5272,89,
2021-01-24,Camariñas,5272,77,
2021-01-25,Camariñas,5272,76,
2021-01-26,Camariñas,5272,71,
2021-01-27,Camariñas,5272,66,
2021-01-28,Camariñas,5272,55,
2021-01-29,Camariñas,5272,43,
2021-01-30,Camariñas,5272,33,
2021-01-31,Camariñas,5272,32,
2021-02-01,Camariñas,5272,28,
2021-02-02,Camariñas,5272,28,
2021-02-03,Camariñas,5272,31,
2021-02-04,Camariñas,5272,29,
2021-02-05,Camariñas,5272,23,
2021-02-06,Camariñas,5272,19,
2021-02-07,Camariñas,5272,13,
2021-02-08,Camariñas,5272,12,
2021-02-09,Camariñas,5272,10,
2021-02-10,Camariñas,5272,11,
2021-02-11,Camariñas,5272,,
2021-02-12,Camariñas,5272,11,
2021-02-13,Camariñas,5272,11,
2021-02-14,Camariñas,5272,15,
2021-02-15,Camariñas,5272,15,
2021-02-16,Camariñas,5272,16,
2021-02-17,Camariñas,5272,13,
2021-02-18,Camariñas,5272,12,
2021-02-19,Camariñas,5272,11,
2021-02-20,Camariñas,5272,10,
2021-02-21,Camariñas,5272,10,
2021-02-22,Camariñas,5272,,
2021-02-23,Camariñas,5272,,
2021-02-24,Camariñas,5272,,
2021-02-25,Camariñas,5272,,
2021-02-26,Camariñas,5272,,
2021-02-27,Camariñas,5272,,
2021-02-28,Camariñas,5272,,
2021-03-01,Camariñas,5272,,
2021-03-02,Camariñas,5272,,
2021-03-03,Camariñas,5272,,
2021-03-04,Camariñas,5272,,
2021-03-05,Camariñas,5272,,0
2021-03-06,Camariñas,5272,,0
2021-03-07,Camariñas,5272,,0
2021-03-08,Camariñas,5272,,
2021-03-09,Camariñas,5272,,
2021-03-10,Camariñas,5272,,
2021-03-11,Camariñas,5272,,
2021-03-12,Camariñas,5272,,
2021-03-13,Camariñas,5272,,
2021-03-14,Camariñas,5272,,
2021-03-15,Camariñas,5272,,
2021-03-16,Camariñas,5272,,
2021-03-17,Camariñas,5272,,
2021-03-18,Camariñas,5272,,
2021-03-19,Camariñas,5272,,
2021-03-20,Camariñas,5272,,
