fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Cerceda,5001,33,
2020-11-22,Cerceda,5001,34,
2020-11-23,Cerceda,5001,38,
2020-11-24,Cerceda,5001,41,
2020-11-25,Cerceda,5001,41,
2020-11-26,Cerceda,5001,37,
2020-11-27,Cerceda,5001,37,
2020-11-28,Cerceda,5001,37,
2020-11-29,Cerceda,5001,38,
2020-11-30,Cerceda,5001,35,
2020-12-01,Cerceda,5001,34,
2020-12-02,Cerceda,5001,31,
2020-12-03,Cerceda,5001,25,
2020-12-04,Cerceda,5001,24,
2020-12-05,Cerceda,5001,20,
2020-12-06,Cerceda,5001,17,
2020-12-07,Cerceda,5001,14,
2020-12-08,Cerceda,5001,11,
2020-12-09,Cerceda,5001,11,
2020-12-10,Cerceda,5001,11,
2020-12-11,Cerceda,5001,,
2020-12-12,Cerceda,5001,,
2020-12-13,Cerceda,5001,,
2020-12-14,Cerceda,5001,,
2020-12-15,Cerceda,5001,,
2020-12-16,Cerceda,5001,,
2020-12-17,Cerceda,5001,,
2020-12-18,Cerceda,5001,,
2020-12-19,Cerceda,5001,,
2020-12-20,Cerceda,5001,,
2020-12-21,Cerceda,5001,0,
2020-12-22,Cerceda,5001,0,
2020-12-23,Cerceda,5001,0,
2020-12-24,Cerceda,5001,0,
2020-12-25,Cerceda,5001,0,
2020-12-26,Cerceda,5001,0,
2020-12-27,Cerceda,5001,0,
2020-12-28,Cerceda,5001,0,
2020-12-29,Cerceda,5001,0,
2020-12-30,Cerceda,5001,0,
2020-12-31,Cerceda,5001,0,
2021-01-01,Cerceda,5001,0,
2021-01-02,Cerceda,5001,0,
2021-01-03,Cerceda,5001,0,
2021-01-04,Cerceda,5001,0,
2021-01-05,Cerceda,5001,0,
2021-01-06,Cerceda,5001,,
2021-01-07,Cerceda,5001,,
2021-01-08,Cerceda,5001,,
2021-01-09,Cerceda,5001,,
2021-01-10,Cerceda,5001,18,
2021-01-11,Cerceda,5001,22,
2021-01-12,Cerceda,5001,27,
2021-01-13,Cerceda,5001,37,
2021-01-14,Cerceda,5001,39,
2021-01-15,Cerceda,5001,44,
2021-01-16,Cerceda,5001,50,
2021-01-17,Cerceda,5001,62,
2021-01-18,Cerceda,5001,67,
2021-01-19,Cerceda,5001,68,
2021-01-20,Cerceda,5001,75,
2021-01-21,Cerceda,5001,78,
2021-01-22,Cerceda,5001,83,
2021-01-23,Cerceda,5001,82,
2021-01-24,Cerceda,5001,74,
2021-01-25,Cerceda,5001,71,
2021-01-26,Cerceda,5001,68,
2021-01-27,Cerceda,5001,60,
2021-01-28,Cerceda,5001,67,
2021-01-29,Cerceda,5001,68,
2021-01-30,Cerceda,5001,67,
2021-01-31,Cerceda,5001,58,
2021-02-01,Cerceda,5001,57,
2021-02-02,Cerceda,5001,61,
2021-02-03,Cerceda,5001,58,
2021-02-04,Cerceda,5001,52,
2021-02-05,Cerceda,5001,46,
2021-02-06,Cerceda,5001,45,
2021-02-07,Cerceda,5001,44,
2021-02-08,Cerceda,5001,43,
2021-02-09,Cerceda,5001,43,
2021-02-10,Cerceda,5001,44,
2021-02-11,Cerceda,5001,36,
2021-02-12,Cerceda,5001,32,
2021-02-13,Cerceda,5001,27,
2021-02-14,Cerceda,5001,25,
2021-02-15,Cerceda,5001,21,
2021-02-16,Cerceda,5001,16,
2021-02-17,Cerceda,5001,11,
2021-02-18,Cerceda,5001,12,
2021-02-19,Cerceda,5001,12,
2021-02-20,Cerceda,5001,11,
2021-02-21,Cerceda,5001,11,
2021-02-22,Cerceda,5001,11,
2021-02-23,Cerceda,5001,10,
2021-02-24,Cerceda,5001,,
2021-02-25,Cerceda,5001,,
2021-02-26,Cerceda,5001,,
2021-02-27,Cerceda,5001,,
2021-02-28,Cerceda,5001,,
2021-03-01,Cerceda,5001,,
2021-03-02,Cerceda,5001,,
2021-03-03,Cerceda,5001,,
2021-03-04,Cerceda,5001,,
2021-03-05,Cerceda,5001,,
2021-03-06,Cerceda,5001,,
2021-03-07,Cerceda,5001,,
2021-03-08,Cerceda,5001,,
2021-03-09,Cerceda,5001,,
2021-03-10,Cerceda,5001,,0
2021-03-11,Cerceda,5001,,
2021-03-12,Cerceda,5001,,
2021-03-13,Cerceda,5001,,
2021-03-14,Cerceda,5001,,
2021-03-15,Cerceda,5001,,
2021-03-16,Cerceda,5001,,
2021-03-17,Cerceda,5001,,
2021-03-18,Cerceda,5001,,0
2021-03-19,Cerceda,5001,,0
2021-03-20,Cerceda,5001,,
2021-03-21,Cerceda,5001,,
2021-03-22,Cerceda,5001,,
2021-03-23,Cerceda,5001,,
2021-03-24,Cerceda,5001,,
2021-03-25,Cerceda,5001,,
2021-03-26,Cerceda,5001,,
2021-03-27,Cerceda,5001,,0
2021-03-28,Cerceda,5001,,0
2021-03-29,Cerceda,5001,,0
2021-03-30,Cerceda,5001,,0
2021-03-31,Cerceda,5001,,0
2021-04-01,Cerceda,5001,,
2021-04-02,Cerceda,5001,,
2021-04-03,Cerceda,5001,,
2021-04-04,Cerceda,5001,,
2021-04-05,Cerceda,5001,,
2021-04-06,Cerceda,5001,,
2021-04-07,Cerceda,5001,,
2021-04-08,Cerceda,5001,,
2021-04-09,Cerceda,5001,,
2021-04-10,Cerceda,5001,,
2021-04-11,Cerceda,5001,,
2021-04-12,Cerceda,5001,,
2021-04-13,Cerceda,5001,,
2021-04-14,Cerceda,5001,,
2021-04-15,Cerceda,5001,,
2021-04-16,Cerceda,5001,,
2021-04-17,Cerceda,5001,,
2021-04-18,Cerceda,5001,,
2021-04-19,Cerceda,5001,,
2021-04-20,Cerceda,5001,,
2021-04-21,Cerceda,5001,,
2021-04-22,Cerceda,5001,,
2021-04-23,Cerceda,5001,,
2021-04-24,Cerceda,5001,,
2021-04-25,Cerceda,5001,,
2021-04-26,Cerceda,5001,,
2021-04-27,Cerceda,5001,,
2021-04-28,Cerceda,5001,,
2021-04-29,Cerceda,5001,,
2021-04-30,Cerceda,5001,,
2021-05-01,Cerceda,5001,,
2021-05-02,Cerceda,5001,,
2021-05-03,Cerceda,5001,,
2021-05-04,Cerceda,5001,,
2021-05-05,Cerceda,5001,,
2021-05-06,Cerceda,5001,,
2021-05-07,Cerceda,5001,,
2021-05-08,Cerceda,5001,,
2021-05-09,Cerceda,5001,,
2021-05-10,Cerceda,5001,,
2021-05-11,Cerceda,5001,,
2021-05-12,Cerceda,5001,10,
2021-05-13,Cerceda,5001,,
2021-05-14,Cerceda,5001,,
2021-05-15,Cerceda,5001,,
2021-05-16,Cerceda,5001,,
2021-05-17,Cerceda,5001,,
2021-05-18,Cerceda,5001,,
2021-05-19,Cerceda,5001,,
2021-05-20,Cerceda,5001,,
2021-05-21,Cerceda,5001,,
2021-05-22,Cerceda,5001,,
2021-05-23,Cerceda,5001,,
2021-05-24,Cerceda,5001,,
2021-05-25,Cerceda,5001,,
2021-05-26,Cerceda,5001,,
2021-05-27,Cerceda,5001,,
2021-05-28,Cerceda,5001,,
2021-05-29,Cerceda,5001,,0
2021-05-30,Cerceda,5001,,0
2021-05-31,Cerceda,5001,,0
2021-06-01,Cerceda,5001,,0
2021-06-02,Cerceda,5001,,0
2021-06-03,Cerceda,5001,,0
2021-06-04,Cerceda,5001,,0
2021-06-05,Cerceda,5001,,
2021-06-06,Cerceda,5001,,
2021-06-07,Cerceda,5001,,
2021-06-08,Cerceda,5001,,
2021-06-09,Cerceda,5001,,
2021-06-10,Cerceda,5001,,
2021-06-11,Cerceda,5001,,
2021-06-12,Cerceda,5001,,0
2021-06-13,Cerceda,5001,,0
2021-06-14,Cerceda,5001,,0
2021-06-15,Cerceda,5001,,0
2021-06-16,Cerceda,5001,,0
2021-06-17,Cerceda,5001,,0
2021-06-18,Cerceda,5001,,0
2021-06-19,Cerceda,5001,0,0
2021-06-20,Cerceda,5001,0,0
2021-06-21,Cerceda,5001,0,0
2021-06-22,Cerceda,5001,0,0
2021-06-23,Cerceda,5001,0,0
2021-06-24,Cerceda,5001,0,0
2021-06-25,Cerceda,5001,0,0
2021-06-26,Cerceda,5001,0,0
2021-06-27,Cerceda,5001,0,0
2021-06-28,Cerceda,5001,0,0
2021-06-29,Cerceda,5001,0,0
2021-06-30,Cerceda,5001,0,0
2021-07-01,Cerceda,5001,0,0
2021-07-02,Cerceda,5001,0,0
2021-07-03,Cerceda,5001,0,0
2021-07-04,Cerceda,5001,0,0
2021-07-05,Cerceda,5001,0,0
2021-07-06,Cerceda,5001,0,0
2021-07-07,Cerceda,5001,0,0
2021-07-08,Cerceda,5001,0,0
2021-07-09,Cerceda,5001,0,0
2021-07-10,Cerceda,5001,0,0
2021-07-11,Cerceda,5001,0,0
2021-07-12,Cerceda,5001,0,0
2021-07-13,Cerceda,5001,0,0
2021-07-14,Cerceda,5001,0,0
2021-07-15,Cerceda,5001,0,0
2021-07-16,Cerceda,5001,0,0
2021-07-17,Cerceda,5001,0,0
2021-07-18,Cerceda,5001,0,0
2021-07-19,Cerceda,5001,0,0
2021-07-20,Cerceda,5001,0,0
2021-07-21,Cerceda,5001,0,0
2021-07-22,Cerceda,5001,0,0
2021-07-23,Cerceda,5001,,
2021-07-24,Cerceda,5001,,
2021-07-25,Cerceda,5001,,
2021-07-26,Cerceda,5001,,
2021-07-27,Cerceda,5001,,
2021-07-28,Cerceda,5001,,
2021-07-29,Cerceda,5001,,
2021-07-30,Cerceda,5001,,
2021-07-31,Cerceda,5001,,
2021-08-01,Cerceda,5001,,
2021-08-02,Cerceda,5001,,
2021-08-03,Cerceda,5001,,
2021-08-04,Cerceda,5001,,
2021-08-05,Cerceda,5001,10,
2021-08-06,Cerceda,5001,,
2021-08-07,Cerceda,5001,,
2021-08-08,Cerceda,5001,,
2021-08-09,Cerceda,5001,10,
2021-08-10,Cerceda,5001,13,
2021-08-11,Cerceda,5001,13,10
2021-08-12,Cerceda,5001,16,13
2021-08-13,Cerceda,5001,16,12
2021-08-14,Cerceda,5001,16,12
2021-08-15,Cerceda,5001,17,11
2021-08-16,Cerceda,5001,18,11
2021-08-17,Cerceda,5001,18,
2021-08-18,Cerceda,5001,18,
2021-08-19,Cerceda,5001,18,
2021-08-20,Cerceda,5001,19,
2021-08-21,Cerceda,5001,21,
2021-08-22,Cerceda,5001,24,13
2021-08-23,Cerceda,5001,25,14
2021-08-24,Cerceda,5001,25,16
2021-08-25,Cerceda,5001,27,19
2021-08-26,Cerceda,5001,23,18
2021-08-27,Cerceda,5001,28,21
2021-08-28,Cerceda,5001,29,19
2021-08-29,Cerceda,5001,29,16
2021-08-30,Cerceda,5001,31,17
2021-08-31,Cerceda,5001,30,14
2021-09-01,Cerceda,5001,31,12
2021-09-02,Cerceda,5001,30,12
2021-09-03,Cerceda,5001,28,
2021-09-04,Cerceda,5001,25,
2021-09-05,Cerceda,5001,21,
2021-09-06,Cerceda,5001,19,
2021-09-07,Cerceda,5001,16,
2021-09-08,Cerceda,5001,13,
2021-09-09,Cerceda,5001,13,
2021-09-10,Cerceda,5001,,0
2021-09-11,Cerceda,5001,,0
2021-09-12,Cerceda,5001,,0
2021-09-13,Cerceda,5001,,0
2021-09-14,Cerceda,5001,,0
2021-09-15,Cerceda,5001,,0
2021-09-16,Cerceda,5001,,0
2021-09-17,Cerceda,5001,,0
2021-09-18,Cerceda,5001,0,0
2021-09-19,Cerceda,5001,0,0
2021-09-20,Cerceda,5001,0,0
2021-09-21,Cerceda,5001,0,0
2021-09-22,Cerceda,5001,0,0
2021-09-23,Cerceda,5001,0,0
2021-09-24,Cerceda,5001,0,0
2021-09-25,Cerceda,5001,0,0
2021-09-26,Cerceda,5001,0,0
2021-09-27,Cerceda,5001,0,0
2021-09-28,Cerceda,5001,0,0
2021-09-29,Cerceda,5001,0,0
2021-09-30,Cerceda,5001,0,0
2021-10-01,Cerceda,5001,0,0
2021-10-02,Cerceda,5001,0,0
2021-10-03,Cerceda,5001,0,0
2021-10-04,Cerceda,5001,0,0
2021-10-05,Cerceda,5001,0,0
2021-10-06,Cerceda,5001,0,0
2021-10-07,Cerceda,5001,0,0
2021-10-08,Cerceda,5001,0,0
2021-10-09,Cerceda,5001,0,0
2021-10-10,Cerceda,5001,0,0
2021-10-11,Cerceda,5001,,
2021-10-12,Cerceda,5001,,
2021-10-13,Cerceda,5001,,
2021-10-14,Cerceda,5001,,
2021-10-15,Cerceda,5001,,
2021-10-16,Cerceda,5001,,
2021-10-17,Cerceda,5001,,
2021-10-18,Cerceda,5001,,0
2021-10-19,Cerceda,5001,,0
2021-10-20,Cerceda,5001,,0
2021-10-21,Cerceda,5001,,0
2021-10-22,Cerceda,5001,,0
2021-10-23,Cerceda,5001,,0
2021-10-24,Cerceda,5001,,0
2021-10-25,Cerceda,5001,0,0
2021-10-26,Cerceda,5001,0,0
2021-10-27,Cerceda,5001,0,0
2021-10-28,Cerceda,5001,0,0
2021-10-29,Cerceda,5001,0,0
2021-10-30,Cerceda,5001,0,0
2021-10-31,Cerceda,5001,,
2021-11-01,Cerceda,5001,,
2021-11-02,Cerceda,5001,,
2021-11-03,Cerceda,5001,,
2021-11-04,Cerceda,5001,,
2021-11-05,Cerceda,5001,,
2021-11-06,Cerceda,5001,,
2021-11-07,Cerceda,5001,,0
2021-11-08,Cerceda,5001,,0
2021-11-09,Cerceda,5001,,0
2021-11-10,Cerceda,5001,,0
2021-11-11,Cerceda,5001,,0
2021-11-12,Cerceda,5001,,0
2021-11-13,Cerceda,5001,,0
2021-11-14,Cerceda,5001,0,0
2021-11-15,Cerceda,5001,0,0
2021-11-16,Cerceda,5001,0,0
2021-11-17,Cerceda,5001,0,0
2021-11-18,Cerceda,5001,0,0
2021-11-19,Cerceda,5001,0,0
2021-11-20,Cerceda,5001,0,0
2021-11-21,Cerceda,5001,0,0
2021-11-22,Cerceda,5001,0,0
2021-11-23,Cerceda,5001,0,0
2021-11-24,Cerceda,5001,0,0
2021-11-25,Cerceda,5001,0,0
2021-11-26,Cerceda,5001,0,0
2021-11-27,Cerceda,5001,0,0
2021-11-28,Cerceda,5001,,
2021-11-29,Cerceda,5001,,
2021-11-30,Cerceda,5001,,
2021-12-01,Cerceda,5001,,
2021-12-02,Cerceda,5001,,
2021-12-03,Cerceda,5001,,
2021-12-04,Cerceda,5001,10,10
2021-12-05,Cerceda,5001,11,
2021-12-06,Cerceda,5001,12,
2021-12-07,Cerceda,5001,12,
2021-12-08,Cerceda,5001,18,12
2021-12-09,Cerceda,5001,19,11
2021-12-10,Cerceda,5001,21,13
2021-12-11,Cerceda,5001,23,13
2021-12-12,Cerceda,5001,18,12
2021-12-13,Cerceda,5001,23,16
2021-12-14,Cerceda,5001,26,19
2021-12-15,Cerceda,5001,25,13
2021-12-16,Cerceda,5001,32,21
2021-12-17,Cerceda,5001,34,21
2021-12-18,Cerceda,5001,34,21
2021-12-19,Cerceda,5001,35,23
2021-12-20,Cerceda,5001,37,21
2021-12-21,Cerceda,5001,37,18
2021-12-22,Cerceda,5001,32,19
2021-12-23,Cerceda,5001,33,12
2021-12-24,Cerceda,5001,33,12
2021-12-25,Cerceda,5001,31,10
2021-12-26,Cerceda,5001,34,11
2021-12-27,Cerceda,5001,30,
2021-12-28,Cerceda,5001,32,14
2021-12-29,Cerceda,5001,40,21
2021-12-30,Cerceda,5001,37,25
2021-12-31,Cerceda,5001,42,30
2022-01-01,Cerceda,5001,46,36
2022-01-02,Cerceda,5001,54,43
2022-01-03,Cerceda,5001,61,52
2022-01-04,Cerceda,5001,66,52
2022-01-05,Cerceda,5001,72,51
2022-01-06,Cerceda,5001,79,54
2022-01-07,Cerceda,5001,85,55
2022-01-08,Cerceda,5001,91,55
2022-01-09,Cerceda,5001,91,48
2022-01-10,Cerceda,5001,93,41
2022-01-11,Cerceda,5001,93,41
2022-01-12,Cerceda,5001,97,46
2022-01-13,Cerceda,5001,113,59
2022-01-14,Cerceda,5001,122,67
2022-01-15,Cerceda,5001,146,90
2022-01-16,Cerceda,5001,151,99
2022-01-17,Cerceda,5001,150,102
2022-01-18,Cerceda,5001,154,101
2022-01-19,Cerceda,5001,159,100
2022-01-20,Cerceda,5001,168,107
2022-01-21,Cerceda,5001,180,102
2022-01-22,Cerceda,5001,179,87
2022-01-23,Cerceda,5001,181,81
2022-01-24,Cerceda,5001,178,76
2022-01-25,Cerceda,5001,174,70
2022-01-26,Cerceda,5001,171,67
2022-01-27,Cerceda,5001,166,57
2022-01-28,Cerceda,5001,152,50
2022-01-29,Cerceda,5001,146,59
2022-01-30,Cerceda,5001,136,55
2022-01-31,Cerceda,5001,131,55
2022-02-01,Cerceda,5001,130,57
2022-02-02,Cerceda,5001,131,60
