fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Baltar,962,,
2020-11-22,Baltar,962,10,
2020-11-23,Baltar,962,12,
2020-11-24,Baltar,962,13,
2020-11-25,Baltar,962,16,
2020-11-26,Baltar,962,16,
2020-11-27,Baltar,962,16,
2020-11-28,Baltar,962,15,
2020-11-29,Baltar,962,15,
2020-11-30,Baltar,962,15,
2020-12-01,Baltar,962,13,
2020-12-02,Baltar,962,12,
2020-12-03,Baltar,962,11,
2020-12-04,Baltar,962,10,
2020-12-05,Baltar,962,10,
2020-12-06,Baltar,962,,
2020-12-07,Baltar,962,,
2020-12-08,Baltar,962,,
2020-12-09,Baltar,962,,
2020-12-10,Baltar,962,,
2020-12-11,Baltar,962,,
2020-12-12,Baltar,962,,
2020-12-13,Baltar,962,,
2020-12-14,Baltar,962,,
2020-12-15,Baltar,962,,
2020-12-16,Baltar,962,,
2020-12-17,Baltar,962,,
2020-12-18,Baltar,962,,
2020-12-19,Baltar,962,,
2020-12-20,Baltar,962,,
2020-12-21,Baltar,962,,
2020-12-22,Baltar,962,,
2020-12-23,Baltar,962,,
2020-12-24,Baltar,962,,
2020-12-25,Baltar,962,0,
2020-12-26,Baltar,962,0,
2020-12-27,Baltar,962,0,
2020-12-28,Baltar,962,0,
2020-12-29,Baltar,962,0,
2020-12-30,Baltar,962,,
2020-12-31,Baltar,962,,
2021-01-01,Baltar,962,,
2021-01-02,Baltar,962,,
2021-01-03,Baltar,962,,
2021-01-04,Baltar,962,,
2021-01-05,Baltar,962,,
2021-01-06,Baltar,962,,
2021-01-07,Baltar,962,,
2021-01-08,Baltar,962,,
2021-01-09,Baltar,962,,
2021-01-10,Baltar,962,,
2021-01-11,Baltar,962,,
2021-01-12,Baltar,962,,
2021-01-13,Baltar,962,,
2021-01-14,Baltar,962,,
2021-01-15,Baltar,962,,
2021-01-16,Baltar,962,,
2021-01-17,Baltar,962,,
2021-01-18,Baltar,962,,
2021-01-19,Baltar,962,,
2021-01-20,Baltar,962,,
2021-01-21,Baltar,962,,
2021-01-22,Baltar,962,,
2021-01-23,Baltar,962,,
2021-01-24,Baltar,962,,
2021-01-25,Baltar,962,,
2021-01-26,Baltar,962,,
2021-01-27,Baltar,962,,
2021-01-28,Baltar,962,11,
2021-01-29,Baltar,962,15,
2021-01-30,Baltar,962,15,
2021-01-31,Baltar,962,15,
2021-02-01,Baltar,962,16,
2021-02-02,Baltar,962,14,
2021-02-03,Baltar,962,13,
2021-02-04,Baltar,962,13,
2021-02-05,Baltar,962,13,
2021-02-06,Baltar,962,13,
2021-02-07,Baltar,962,15,
2021-02-08,Baltar,962,15,
2021-02-09,Baltar,962,14,
2021-02-10,Baltar,962,12,
2021-02-11,Baltar,962,10,
