fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Larouco,429,0,
2020-11-22,Larouco,429,0,
2020-11-23,Larouco,429,0,
2020-11-24,Larouco,429,0,
2020-11-25,Larouco,429,0,
2020-11-26,Larouco,429,0,
2020-11-27,Larouco,429,0,
2020-11-28,Larouco,429,0,
2020-11-29,Larouco,429,0,
2020-11-30,Larouco,429,0,
2020-12-01,Larouco,429,0,
2020-12-02,Larouco,429,0,
2020-12-03,Larouco,429,0,
2020-12-04,Larouco,429,0,
2020-12-05,Larouco,429,0,
2020-12-06,Larouco,429,0,
2020-12-07,Larouco,429,0,
2020-12-08,Larouco,429,0,
2020-12-09,Larouco,429,0,
2020-12-10,Larouco,429,0,
2020-12-11,Larouco,429,0,
2020-12-12,Larouco,429,0,
2020-12-13,Larouco,429,0,
2020-12-14,Larouco,429,0,
2020-12-15,Larouco,429,0,
2020-12-16,Larouco,429,0,
2020-12-17,Larouco,429,0,
2020-12-18,Larouco,429,0,
2020-12-19,Larouco,429,0,
2020-12-20,Larouco,429,0,
2020-12-21,Larouco,429,0,
2020-12-22,Larouco,429,0,
2020-12-23,Larouco,429,0,
2020-12-24,Larouco,429,0,
2020-12-25,Larouco,429,0,
2020-12-26,Larouco,429,0,
2020-12-27,Larouco,429,0,
2020-12-28,Larouco,429,0,
2020-12-29,Larouco,429,0,
2020-12-30,Larouco,429,0,
2020-12-31,Larouco,429,,
2021-01-01,Larouco,429,,
2021-01-02,Larouco,429,,
2021-01-03,Larouco,429,,
2021-01-04,Larouco,429,,
2021-01-05,Larouco,429,,
2021-01-06,Larouco,429,,
2021-01-07,Larouco,429,,
2021-01-08,Larouco,429,,
2021-01-09,Larouco,429,,
2021-01-10,Larouco,429,,
2021-01-11,Larouco,429,,
2021-01-12,Larouco,429,,
2021-01-13,Larouco,429,,
2021-01-14,Larouco,429,,
2021-01-15,Larouco,429,0,
2021-01-16,Larouco,429,0,
2021-01-17,Larouco,429,0,
2021-01-18,Larouco,429,0,
2021-01-19,Larouco,429,0,
2021-01-20,Larouco,429,0,
2021-01-21,Larouco,429,0,
2021-01-22,Larouco,429,0,
2021-01-23,Larouco,429,0,
2021-01-24,Larouco,429,0,
2021-01-25,Larouco,429,0,
2021-01-26,Larouco,429,0,
2021-01-27,Larouco,429,0,
2021-01-28,Larouco,429,0,
2021-01-29,Larouco,429,0,
2021-01-30,Larouco,429,0,
2021-01-31,Larouco,429,0,
2021-02-01,Larouco,429,0,
2021-02-02,Larouco,429,0,
2021-02-03,Larouco,429,0,
2021-02-04,Larouco,429,0,
2021-02-05,Larouco,429,0,
2021-02-06,Larouco,429,0,
2021-02-07,Larouco,429,0,
2021-02-08,Larouco,429,0,
2021-02-09,Larouco,429,,
2021-02-10,Larouco,429,,
2021-02-11,Larouco,429,,
2021-02-12,Larouco,429,,
2021-02-13,Larouco,429,,
2021-02-14,Larouco,429,,
2021-02-15,Larouco,429,,
2021-02-16,Larouco,429,,
2021-02-17,Larouco,429,,
2021-02-18,Larouco,429,,
