fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Meira,1725,,
2020-11-22,Meira,1725,,
2020-11-23,Meira,1725,,
2020-11-24,Meira,1725,,
2020-11-25,Meira,1725,,
2020-11-26,Meira,1725,,
2020-11-27,Meira,1725,,
2020-11-28,Meira,1725,,
2020-11-29,Meira,1725,,
2020-11-30,Meira,1725,,
2020-12-01,Meira,1725,,
2020-12-02,Meira,1725,,
2020-12-03,Meira,1725,,
2020-12-04,Meira,1725,,
2020-12-05,Meira,1725,,
2020-12-06,Meira,1725,,
2020-12-07,Meira,1725,0,
2020-12-08,Meira,1725,0,
2020-12-09,Meira,1725,0,
2020-12-10,Meira,1725,0,
2020-12-11,Meira,1725,0,
2020-12-12,Meira,1725,0,
2020-12-13,Meira,1725,0,
2020-12-14,Meira,1725,0,
2020-12-15,Meira,1725,0,
2020-12-16,Meira,1725,,
2020-12-17,Meira,1725,,
2020-12-18,Meira,1725,,
2020-12-19,Meira,1725,,
2020-12-20,Meira,1725,,
2020-12-21,Meira,1725,,
2020-12-22,Meira,1725,,
2020-12-23,Meira,1725,,
2020-12-24,Meira,1725,,
2020-12-25,Meira,1725,,
2020-12-26,Meira,1725,,
2020-12-27,Meira,1725,,
2020-12-28,Meira,1725,,
2020-12-29,Meira,1725,,
2020-12-30,Meira,1725,0,
2020-12-31,Meira,1725,,
2021-01-01,Meira,1725,,
2021-01-02,Meira,1725,,
2021-01-03,Meira,1725,,
2021-01-04,Meira,1725,,
2021-01-05,Meira,1725,,
2021-01-06,Meira,1725,,
2021-01-07,Meira,1725,,
2021-01-08,Meira,1725,,
2021-01-09,Meira,1725,,
2021-01-10,Meira,1725,,
2021-01-11,Meira,1725,,
2021-01-12,Meira,1725,,
2021-01-13,Meira,1725,,
2021-01-14,Meira,1725,,
2021-01-15,Meira,1725,,
2021-01-16,Meira,1725,,
2021-01-17,Meira,1725,,
2021-01-18,Meira,1725,,
2021-01-19,Meira,1725,,
2021-01-20,Meira,1725,,
2021-01-21,Meira,1725,,
2021-01-22,Meira,1725,,
2021-01-23,Meira,1725,,
2021-01-24,Meira,1725,,
2021-01-25,Meira,1725,,
2021-01-26,Meira,1725,,
2021-01-27,Meira,1725,,
2021-01-28,Meira,1725,,
2021-01-29,Meira,1725,,
2021-01-30,Meira,1725,,
2021-01-31,Meira,1725,,
2021-02-01,Meira,1725,0,
2021-02-02,Meira,1725,,
2021-02-03,Meira,1725,,
2021-02-04,Meira,1725,,
2021-02-05,Meira,1725,,
2021-02-06,Meira,1725,,
2021-02-07,Meira,1725,,
2021-02-08,Meira,1725,,
2021-02-09,Meira,1725,,
2021-02-10,Meira,1725,,
2021-02-11,Meira,1725,,
2021-02-12,Meira,1725,,
2021-02-13,Meira,1725,,
2021-02-14,Meira,1725,,
2021-02-15,Meira,1725,,
2021-02-16,Meira,1725,,
2021-02-17,Meira,1725,,
2021-02-18,Meira,1725,,
2021-02-19,Meira,1725,,
2021-02-20,Meira,1725,,
2021-02-21,Meira,1725,,
2021-02-22,Meira,1725,,
2021-02-23,Meira,1725,,
2021-02-24,Meira,1725,,
2021-02-25,Meira,1725,,
2021-02-26,Meira,1725,,
2021-02-27,Meira,1725,,
2021-02-28,Meira,1725,,
2021-03-01,Meira,1725,,
2021-03-02,Meira,1725,,
2021-03-03,Meira,1725,,
2021-03-04,Meira,1725,,
2021-03-05,Meira,1725,,
2021-03-06,Meira,1725,,0
2021-03-07,Meira,1725,,0
2021-03-08,Meira,1725,,0
2021-03-09,Meira,1725,,0
2021-03-10,Meira,1725,,0
2021-03-11,Meira,1725,,0
2021-03-12,Meira,1725,,0
2021-03-13,Meira,1725,0,0
2021-03-14,Meira,1725,0,0
2021-03-15,Meira,1725,0,0
2021-03-16,Meira,1725,0,0
2021-03-17,Meira,1725,0,0
2021-03-18,Meira,1725,0,0
2021-03-19,Meira,1725,0,0
2021-03-20,Meira,1725,0,0
2021-03-21,Meira,1725,0,0
2021-03-22,Meira,1725,0,0
2021-03-23,Meira,1725,0,0
2021-03-24,Meira,1725,0,0
2021-03-25,Meira,1725,0,0
2021-03-26,Meira,1725,0,0
2021-03-27,Meira,1725,0,0
2021-03-28,Meira,1725,0,0
2021-03-29,Meira,1725,0,0
2021-03-30,Meira,1725,0,0
2021-03-31,Meira,1725,,
2021-04-01,Meira,1725,,
2021-04-02,Meira,1725,,
2021-04-03,Meira,1725,,
2021-04-04,Meira,1725,,
2021-04-05,Meira,1725,,
2021-04-06,Meira,1725,,
2021-04-07,Meira,1725,,0
2021-04-08,Meira,1725,,0
2021-04-09,Meira,1725,,
2021-04-10,Meira,1725,,
2021-04-11,Meira,1725,,
2021-04-12,Meira,1725,,
2021-04-13,Meira,1725,,
2021-04-14,Meira,1725,,
2021-04-15,Meira,1725,,
2021-04-16,Meira,1725,,
2021-04-17,Meira,1725,,
2021-04-18,Meira,1725,,
2021-04-19,Meira,1725,,
2021-04-20,Meira,1725,,
2021-04-21,Meira,1725,11,
2021-04-22,Meira,1725,11,
2021-04-23,Meira,1725,,
2021-04-24,Meira,1725,,
2021-04-25,Meira,1725,,
2021-04-26,Meira,1725,,
2021-04-27,Meira,1725,,
2021-04-28,Meira,1725,,
2021-04-29,Meira,1725,,
2021-04-30,Meira,1725,,
2021-05-01,Meira,1725,,
2021-05-02,Meira,1725,,
2021-05-03,Meira,1725,,
