fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Bueu,12009,22,
2020-11-22,Bueu,12009,20,
2020-11-23,Bueu,12009,19,
2020-11-24,Bueu,12009,18,
2020-11-25,Bueu,12009,17,
2020-11-26,Bueu,12009,16,
2020-11-27,Bueu,12009,15,
2020-11-28,Bueu,12009,15,
2020-11-29,Bueu,12009,15,
2020-11-30,Bueu,12009,13,
2020-12-01,Bueu,12009,10,
2020-12-02,Bueu,12009,,
2020-12-03,Bueu,12009,,
2020-12-04,Bueu,12009,,
2020-12-05,Bueu,12009,,
2020-12-06,Bueu,12009,12,
2020-12-07,Bueu,12009,14,
2020-12-08,Bueu,12009,16,
2020-12-09,Bueu,12009,23,
2020-12-10,Bueu,12009,25,
2020-12-11,Bueu,12009,24,
2020-12-12,Bueu,12009,30,
2020-12-13,Bueu,12009,33,
2020-12-14,Bueu,12009,37,
2020-12-15,Bueu,12009,44,
2020-12-16,Bueu,12009,53,
2020-12-17,Bueu,12009,57,
2020-12-18,Bueu,12009,70,
2020-12-19,Bueu,12009,72,
2020-12-20,Bueu,12009,76,
2020-12-21,Bueu,12009,77,
2020-12-22,Bueu,12009,75,
2020-12-23,Bueu,12009,73,
2020-12-24,Bueu,12009,76,
2020-12-25,Bueu,12009,78,
2020-12-26,Bueu,12009,70,
2020-12-27,Bueu,12009,73,
2020-12-28,Bueu,12009,74,
2020-12-29,Bueu,12009,73,
2020-12-30,Bueu,12009,73,
2020-12-31,Bueu,12009,72,
2021-01-01,Bueu,12009,66,
2021-01-02,Bueu,12009,65,
2021-01-03,Bueu,12009,58,
2021-01-04,Bueu,12009,57,
2021-01-05,Bueu,12009,58,
2021-01-06,Bueu,12009,56,
2021-01-07,Bueu,12009,52,
2021-01-08,Bueu,12009,54,
2021-01-09,Bueu,12009,54,
2021-01-10,Bueu,12009,50,
2021-01-11,Bueu,12009,45,
2021-01-12,Bueu,12009,45,
2021-01-13,Bueu,12009,36,
2021-01-14,Bueu,12009,33,
2021-01-15,Bueu,12009,28,
2021-01-16,Bueu,12009,28,
2021-01-17,Bueu,12009,27,
2021-01-18,Bueu,12009,23,
2021-01-19,Bueu,12009,26,
2021-01-20,Bueu,12009,24,
2021-01-21,Bueu,12009,27,
2021-01-22,Bueu,12009,24,
2021-01-23,Bueu,12009,26,
2021-01-24,Bueu,12009,28,
2021-01-25,Bueu,12009,29,
2021-01-26,Bueu,12009,27,
2021-01-27,Bueu,12009,30,
2021-01-28,Bueu,12009,33,
2021-01-29,Bueu,12009,32,
2021-01-30,Bueu,12009,30,
2021-01-31,Bueu,12009,34,
2021-02-01,Bueu,12009,34,
2021-02-02,Bueu,12009,32,
2021-02-03,Bueu,12009,34,
2021-02-04,Bueu,12009,34,
2021-02-05,Bueu,12009,36,
2021-02-06,Bueu,12009,36,
2021-02-07,Bueu,12009,32,
2021-02-08,Bueu,12009,31,
2021-02-09,Bueu,12009,28,
2021-02-10,Bueu,12009,27,
2021-02-11,Bueu,12009,26,
2021-02-12,Bueu,12009,28,
2021-02-13,Bueu,12009,26,
2021-02-14,Bueu,12009,26,
2021-02-15,Bueu,12009,30,
2021-02-16,Bueu,12009,30,
2021-02-17,Bueu,12009,28,
2021-02-18,Bueu,12009,24,
2021-02-19,Bueu,12009,23,
2021-02-20,Bueu,12009,23,
2021-02-21,Bueu,12009,23,
2021-02-22,Bueu,12009,24,
2021-02-23,Bueu,12009,24,
2021-02-24,Bueu,12009,22,
2021-02-25,Bueu,12009,20,
2021-02-26,Bueu,12009,17,
2021-02-27,Bueu,12009,18,
2021-02-28,Bueu,12009,14,
2021-03-01,Bueu,12009,10,
2021-03-02,Bueu,12009,,
2021-03-03,Bueu,12009,,
2021-03-04,Bueu,12009,,
2021-03-05,Bueu,12009,,
2021-03-06,Bueu,12009,,
2021-03-07,Bueu,12009,,
2021-03-08,Bueu,12009,,
2021-03-09,Bueu,12009,,
2021-03-10,Bueu,12009,,
2021-03-11,Bueu,12009,,
2021-03-12,Bueu,12009,,0
2021-03-13,Bueu,12009,,0
2021-03-14,Bueu,12009,,0
2021-03-15,Bueu,12009,,0
2021-03-16,Bueu,12009,,0
2021-03-17,Bueu,12009,,
2021-03-18,Bueu,12009,,
2021-03-19,Bueu,12009,,
